Month-Year,Utility,Utility sub-region,Customer class,Supply type,customers,load,Date
7/1/20,Central Maine Power,N/A,Large,CEP customers,326,5330.68929,7/1/20
7/1/20,Central Maine Power,N/A,Large,Standard offer customers,51,195.7877097,7/1/20
7/1/20,Emera Maine,Bangor Hydro District,Large,CEP customers,32,431.1428571,7/1/20
7/1/20,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,218.4285714,7/1/20
7/1/20,Emera Maine,Maine Public District,Large,CEP customers,13,401.6626129,7/1/20
7/1/20,Emera Maine,Maine Public District,Large,Standard offer customers,2,0.916645161,7/1/20
7/1/20,Central Maine Power,N/A,Medium,CEP customers,5338,3647.435806,7/1/20
7/1/20,Central Maine Power,N/A,Medium,Standard offer customers,6040,2197.665516,7/1/20
7/1/20,Emera Maine,Bangor Hydro District,Small,CEP customers,10642,213,7/1/20
7/1/20,Emera Maine,Bangor Hydro District,Small,Standard offer customers,122774,2057.285714,7/1/20
7/1/20,Emera Maine,Bangor Hydro District,Medium,CEP customers,795,770.8571429,7/1/20
7/1/20,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,829,391,7/1/20
7/1/20,Central Maine Power,N/A,Small,CEP customers,80924,1886.373,7/1/20
7/1/20,Central Maine Power,N/A,Small,Standard offer customers,551665,11686.3171,7/1/20
7/1/20,Emera Maine,Maine Public District,Medium,CEP customers,78,112.8186774,7/1/20
7/1/20,Emera Maine,Maine Public District,Medium,Standard offer customers,123,105.3717419,7/1/20
7/1/20,Emera Maine,Maine Public District,Small,CEP customers,381,18.4276129,7/1/20
7/1/20,Emera Maine,Maine Public District,Small,Standard offer customers,35683,751.5796452,7/1/20
6/1/20,Emera Maine,Bangor Hydro District,Large,CEP customers,28,537,6/1/20
6/1/20,Emera Maine,Bangor Hydro District,Large,Standard offer customers,17,63,6/1/20
6/1/20,Central Maine Power,N/A,Medium,CEP customers,5349,3209.027,6/1/20
6/1/20,Central Maine Power,N/A,Medium,Standard offer customers,6012,1829.8635,6/1/20
