DATE,CEP_CUSTOMERS,TOTAL_CUSTOMERS,UTILITY,CUSTOMER_CLASS
2023-07-31,10708.0,128179.0,BANGOR HYDRO DISTRICT,SMALL
2023-06-30,10553.0,128042.0,BANGOR HYDRO DISTRICT,SMALL
2023-05-31,10329.0,127786.0,BANGOR HYDRO DISTRICT,SMALL
2023-04-30,10008.0,127396.0,BANGOR HYDRO DISTRICT,SMALL
2023-03-31,9678.0,126984.0,BANGOR HYDRO DISTRICT,SMALL
2023-02-28,9590.0,126899.0,BANGOR HYDRO DISTRICT,SMALL
2023-01-31,9865.0,126865.0,BANGOR HYDRO DISTRICT,SMALL
2022-12-31,10017.0,126794.0,BANGOR HYDRO DISTRICT,SMALL
2022-11-30,10162.0,126756.0,BANGOR HYDRO DISTRICT,SMALL
2022-10-31,10285.0,126983.0,BANGOR HYDRO DISTRICT,SMALL
2022-09-30,10347.0,127392.0,BANGOR HYDRO DISTRICT,SMALL
2022-08-31,9030.0,116781.0,BANGOR HYDRO DISTRICT,SMALL
2022-07-31,9166.0,118154.0,BANGOR HYDRO DISTRICT,SMALL
2022-06-30,10972.0,136505.0,BANGOR HYDRO DISTRICT,SMALL
2022-05-31,11085.0,136118.0,BANGOR HYDRO DISTRICT,SMALL
2022-04-30,11144.0,135447.0,BANGOR HYDRO DISTRICT,SMALL
2022-03-21,11122.0,135161.0,BANGOR HYDRO DISTRICT,SMALL
2022-02-28,10970.0,135125.0,BANGOR HYDRO DISTRICT,SMALL
2022-01-31,10767.0,135018.0,BANGOR HYDRO DISTRICT,SMALL
2021-12-31,10772.0,134874.0,BANGOR HYDRO DISTRICT,SMALL
2021-11-30,10859.0,134967.0,BANGOR HYDRO DISTRICT,SMALL
2021-10-31,11121.0,135092.0,BANGOR HYDRO DISTRICT,SMALL
2021-09-30,11228.0,135479.0,BANGOR HYDRO DISTRICT,SMALL
2021-08-31,11246.0,135353.0,BANGOR HYDRO DISTRICT,SMALL
2021-07-01,11399.0,135497.0,BANGOR HYDRO DISTRICT,SMALL
2021-06-01,11365.0,135006.0,BANGOR HYDRO DISTRICT,SMALL
2021-05-01,11331.0,134515.0,BANGOR HYDRO DISTRICT,SMALL
2021-04-01,11291.0,134082.0,BANGOR HYDRO DISTRICT,SMALL
2021-03-01,11329.0,133417.0,BANGOR HYDRO DISTRICT,SMALL
2021-02-01,11255.0,133169.0,BANGOR HYDRO DISTRICT,SMALL
2021-01-01,11160.0,133075.0,BANGOR HYDRO DISTRICT,SMALL
2020-12-31,11040.0,133202.0,BANGOR HYDRO DISTRICT,SMALL
2020-11-30,10932.0,132995.0,BANGOR HYDRO DISTRICT,SMALL
2020-10-31,10834.0,133144.0,BANGOR HYDRO DISTRICT,SMALL
2020-09-30,10826.0,133610.0,BANGOR HYDRO DISTRICT,SMALL
2020-08-01,10813.0,133566.0,BANGOR HYDRO DISTRICT,SMALL
2020-07-01,10642.0,133416.0,BANGOR HYDRO DISTRICT,SMALL
2020-06-01,10654.0,133061.0,BANGOR HYDRO DISTRICT,SMALL
2020-05-01,10737.0,132471.0,BANGOR HYDRO DISTRICT,SMALL
2020-04-01,10719.0,127850.0,BANGOR HYDRO DISTRICT,SMALL
2020-03-01,10772.0,127508.0,BANGOR HYDRO DISTRICT,SMALL
2020-02-01,10809.0,127382.0,BANGOR HYDRO DISTRICT,SMALL
2020-01-01,10898.0,127300.0,BANGOR HYDRO DISTRICT,SMALL
2019-12-01,11076.0,127251.0,BANGOR HYDRO DISTRICT,SMALL
2019-11-01,11282.0,127322.0,BANGOR HYDRO DISTRICT,SMALL
2019-10-01,11110.0,127611.0,BANGOR HYDRO DISTRICT,SMALL
2019-09-01,11141.0,128113.0,BANGOR HYDRO DISTRICT,SMALL
2019-08-01,11219.0,128117.0,BANGOR HYDRO DISTRICT,SMALL
2019-07-01,11366.0,128030.0,BANGOR HYDRO DISTRICT,SMALL
2019-06-01,11478.0,127819.0,BANGOR HYDRO DISTRICT,SMALL
2019-05-01,11563.0,127511.0,BANGOR HYDRO DISTRICT,SMALL
2019-04-01,11711.0,126906.0,BANGOR HYDRO DISTRICT,SMALL
2019-03-01,11722.0,126690.0,BANGOR HYDRO DISTRICT,SMALL
2019-02-01,11757.0,140609.0,BANGOR HYDRO DISTRICT,SMALL
2019-01-01,11808.0,140568.0,BANGOR HYDRO DISTRICT,SMALL
2018-12-01,11933.0,126595.0,BANGOR HYDRO DISTRICT,SMALL
2018-11-01,11953.0,126629.0,BANGOR HYDRO DISTRICT,SMALL
2018-10-31,11693.0,127036.0,BANGOR HYDRO DISTRICT,SMALL
2018-09-01,11454.0,127349.0,BANGOR HYDRO DISTRICT,SMALL
2018-08-01,11627.0,127387.0,BANGOR HYDRO DISTRICT,SMALL
2018-07-01,11836.0,127073.0,BANGOR HYDRO DISTRICT,SMALL
2018-06-01,11654.0,127035.0,BANGOR HYDRO DISTRICT,SMALL
2018-05-01,10252.0,126717.0,BANGOR HYDRO DISTRICT,SMALL
