DATE,CEP_LOAD_MWH,TOTAL_CLASS_LOAD_MWH,UTILITY,CUSTOMER_CLASS
2023-07-31,211.42857142857142,2176.285714285714,BANGOR HYDRO DISTRICT,SMALL
2023-06-30,199.0,2027.0,BANGOR HYDRO DISTRICT,SMALL
2023-05-31,194.57142857142858,1999.857142857143,BANGOR HYDRO DISTRICT,SMALL
2023-04-30,187.14285714285714,2085.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2023-03-31,237.57142857142858,2751.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2023-02-28,231.42857142857142,2701.714285714286,BANGOR HYDRO DISTRICT,SMALL
2023-01-31,237.57142857142858,2679.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2022-12-31,226.28571428571428,2491.714285714286,BANGOR HYDRO DISTRICT,SMALL
2022-11-30,179.28571428571428,1856.7142857142858,BANGOR HYDRO DISTRICT,SMALL
2022-10-31,193.28571428571428,2020.142857142857,BANGOR HYDRO DISTRICT,SMALL
2022-09-30,233.14285714285714,2561.4285714285716,BANGOR HYDRO DISTRICT,SMALL
2022-08-31,226.0,2479.0,BANGOR HYDRO DISTRICT,SMALL
2022-07-31,202.85714285714286,2112.285714285714,BANGOR HYDRO DISTRICT,SMALL
2022-06-30,191.85714285714286,1963.142857142857,BANGOR HYDRO DISTRICT,SMALL
2022-05-31,194.14285714285714,1990.4285714285713,BANGOR HYDRO DISTRICT,SMALL
2022-04-30,273.14285714285717,2806.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2022-03-31,260.0,2935.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2022-02-28,283.14285714285717,3173.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2022-01-31,255.71428571428572,2866.4285714285716,BANGOR HYDRO DISTRICT,SMALL
2021-12-31,237.0,2561.0,BANGOR HYDRO DISTRICT,SMALL
2021-11-30,195.57142857142858,1973.0,BANGOR HYDRO DISTRICT,SMALL
2021-10-31,194.14285714285714,1938.2857142857142,BANGOR HYDRO DISTRICT,SMALL
2021-09-30,248.85714285714286,2548.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2021-08-31,222.0,2265.0,BANGOR HYDRO DISTRICT,SMALL
2021-07-01,234.42857142857142,2349.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2021-06-01,215.42857142857142,2086.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2021-05-01,195.42857142857142,1875.857142857143,BANGOR HYDRO DISTRICT,SMALL
2021-04-01,219.42857142857142,2154.0,BANGOR HYDRO DISTRICT,SMALL
2021-03-01,266.85714285714283,2730.1428571428573,BANGOR HYDRO DISTRICT,SMALL
2021-02-01,262.57142857142856,2692.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2021-01-01,241.57142857142858,2582.0,BANGOR HYDRO DISTRICT,SMALL
2020-12-31,241.14285714285714,2525.285714285714,BANGOR HYDRO DISTRICT,SMALL
2020-11-30,182.14285714285714,1878.142857142857,BANGOR HYDRO DISTRICT,SMALL
2020-10-31,191.57142857142858,1979.7142857142858,BANGOR HYDRO DISTRICT,SMALL
2020-09-01,214.0,2241.0,BANGOR HYDRO DISTRICT,SMALL
2020-08-01,224.14285714285714,2441.714285714286,BANGOR HYDRO DISTRICT,SMALL
2020-07-01,213.0,2270.285714285714,BANGOR HYDRO DISTRICT,SMALL
2020-06-01,200.0,2067.0,BANGOR HYDRO DISTRICT,SMALL
2020-05-01,202.0,2123.0,BANGOR HYDRO DISTRICT,SMALL
2020-04-01,201.19960879557144,2065.9837975424284,BANGOR HYDRO DISTRICT,SMALL
2020-03-01,220.0,2218.0,BANGOR HYDRO DISTRICT,SMALL
2020-02-01,235.63797925914307,2394.4628585542855,BANGOR HYDRO DISTRICT,SMALL
2020-01-01,252.19785015542843,2514.4274170297144,BANGOR HYDRO DISTRICT,SMALL
2019-12-01,260.37818008242874,2594.0285354481425,BANGOR HYDRO DISTRICT,SMALL
2019-11-01,239.0,2372.0,BANGOR HYDRO DISTRICT,SMALL
2019-10-01,215.0,2142.0,BANGOR HYDRO DISTRICT,SMALL
2019-09-01,208.0,2013.0,BANGOR HYDRO DISTRICT,SMALL
2019-08-01,223.0,2139.0,BANGOR HYDRO DISTRICT,SMALL
2019-07-01,266.8175588705716,2525.0940626320003,BANGOR HYDRO DISTRICT,SMALL
2019-06-01,223.0,2079.0,BANGOR HYDRO DISTRICT,SMALL
2019-05-01,214.4423426180001,1998.6697512792857,BANGOR HYDRO DISTRICT,SMALL
2019-04-01,231.3141533277142,2133.876792813714,BANGOR HYDRO DISTRICT,SMALL
2019-03-01,240.0,2234.0,BANGOR HYDRO DISTRICT,SMALL
2019-02-01,279.76759769871416,2632.458102561143,BANGOR HYDRO DISTRICT,SMALL
2019-01-01,282.35460882171435,2628.094017470286,BANGOR HYDRO DISTRICT,SMALL
2018-12-01,280.05711416085694,2617.398903291571,BANGOR HYDRO DISTRICT,SMALL
2018-11-01,253.1827746630001,2357.171106238143,BANGOR HYDRO DISTRICT,SMALL
2018-10-31,240.57255571614274,2296.226152230714,BANGOR HYDRO DISTRICT,SMALL
2018-09-18,212.53095050514275,2049.906444999428,BANGOR HYDRO DISTRICT,SMALL
2018-08-18,257.98601842599993,2481.7249160445713,BANGOR HYDRO DISTRICT,SMALL
2018-07-01,276.6454361850002,2568.845020067857,BANGOR HYDRO DISTRICT,SMALL
2018-06-01,224.83931277100004,2106.790261843572,BANGOR HYDRO DISTRICT,SMALL
2018-05-01,191.07172952885725,2041.9665951768573,BANGOR HYDRO DISTRICT,SMALL
2018-04-01,191.30324352214276,2048.863639101,BANGOR HYDRO DISTRICT,SMALL
2018-03-01,221.99287648485708,2254.0683575447147,BANGOR HYDRO DISTRICT,SMALL
2018-02-18,231.14851629628564,2280.515630291,BANGOR HYDRO DISTRICT,SMALL
2018-01-01,257.0,2529.259933797143,BANGOR HYDRO DISTRICT,SMALL
2017-12-01,294.0,2873.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2017-11-01,234.0,2238.4285714285716,BANGOR HYDRO DISTRICT,SMALL
2017-10-01,194.4517311434286,1854.6358825785715,BANGOR HYDRO DISTRICT,SMALL
2017-09-01,247.34776828799997,2235.878149938714,BANGOR HYDRO DISTRICT,SMALL
2017-08-01,232.02257821828582,2090.1685702877144,BANGOR HYDRO DISTRICT,SMALL
2017-07-01,244.08203124999997,2219.4965265356923,BANGOR HYDRO DISTRICT,SMALL
2017-06-01,237.32060832142858,2209.58015125,BANGOR HYDRO DISTRICT,SMALL
2017-05-01,173.319608,1843.2089284838721,BANGOR HYDRO DISTRICT,SMALL
2017-04-01,206.11522126666668,2050.6900551333333,BANGOR HYDRO DISTRICT,SMALL
2017-03-01,267.42857142857144,2644.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2017-02-01,218.14285714285714,2200.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2017-01-01,243.42857142857142,2362.285714285714,BANGOR HYDRO DISTRICT,SMALL
2016-12-01,245.71428571428572,2157.0,BANGOR HYDRO DISTRICT,SMALL
2016-11-01,234.0,2259.0,BANGOR HYDRO DISTRICT,SMALL
2016-10-01,222.0,2151.0,BANGOR HYDRO DISTRICT,SMALL
2016-09-01,213.0,2008.0,BANGOR HYDRO DISTRICT,SMALL
2016-08-01,242.0,2264.0,BANGOR HYDRO DISTRICT,SMALL
2016-07-01,245.0,2370.0,BANGOR HYDRO DISTRICT,SMALL
2016-06-01,236.0,2281.0,BANGOR HYDRO DISTRICT,SMALL
2016-05-01,221.0,2181.0,BANGOR HYDRO DISTRICT,SMALL
2016-04-01,205.71428571428572,1997.4285714285713,BANGOR HYDRO DISTRICT,SMALL
2016-03-01,212.0,2084.1428571428573,BANGOR HYDRO DISTRICT,SMALL
2016-02-01,218.0,2168.4285714285716,BANGOR HYDRO DISTRICT,SMALL
2016-01-01,235.42857142857142,2260.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2015-12-01,245.42857142857142,2372.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2015-11-01,245.42857142857142,2296.0,BANGOR HYDRO DISTRICT,SMALL
2015-10-01,228.28571428571428,2114.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2015-09-01,262.57142857142856,2363.4285714285716,BANGOR HYDRO DISTRICT,SMALL
2015-08-01,264.14285714285717,2369.285714285714,BANGOR HYDRO DISTRICT,SMALL
2015-07-01,251.71428571428572,2248.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2015-06-01,224.0,2008.4285714285713,BANGOR HYDRO DISTRICT,SMALL
2015-05-01,222.0,2060.0,BANGOR HYDRO DISTRICT,SMALL
2015-04-01,215.85714285714286,2066.1428571428573,BANGOR HYDRO DISTRICT,SMALL
2015-03-01,238.71428571428572,2324.4285714285716,BANGOR HYDRO DISTRICT,SMALL
2015-02-01,272.0,2604.714285714286,BANGOR HYDRO DISTRICT,SMALL
2015-01-01,292.85714285714283,2652.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2014-12-01,273.2857142857143,2395.714285714286,BANGOR HYDRO DISTRICT,SMALL
2014-11-01,291.57142857142856,2187.714285714286,BANGOR HYDRO DISTRICT,SMALL
2014-10-14,293.0,2119.0,BANGOR HYDRO DISTRICT,SMALL
2014-09-01,288.57142857142856,2017.7142857142858,BANGOR HYDRO DISTRICT,SMALL
2014-08-01,345.14285714285717,2332.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2014-07-01,342.2857142857143,2241.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2014-06-01,334.57142857142856,2151.0,BANGOR HYDRO DISTRICT,SMALL
2014-05-01,305.7142857142857,2009.5714285714287,BANGOR HYDRO DISTRICT,SMALL
2014-04-01,312.14285714285717,2102.4285714285716,BANGOR HYDRO DISTRICT,SMALL
2014-03-01,343.2857142857143,2381.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2014-02-01,351.2857142857143,2447.714285714286,BANGOR HYDRO DISTRICT,SMALL
2014-01-01,387.7142857142857,2651.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2013-12-01,440.57142857142856,2623.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2013-11-01,424.14285714285717,2352.285714285714,BANGOR HYDRO DISTRICT,SMALL
2013-10-01,393.2857142857143,2187.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2013-09-01,361.7142857142857,2011.0,BANGOR HYDRO DISTRICT,SMALL
2013-08-01,401.57142857142856,2271.0,BANGOR HYDRO DISTRICT,SMALL
2013-07-01,412.0,2295.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2013-06-01,406.57142857142856,2213.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2013-05-01,360.42857142857144,1976.857142857143,BANGOR HYDRO DISTRICT,SMALL
2013-04-01,368.14285714285717,2040.857142857143,BANGOR HYDRO DISTRICT,SMALL
2013-03-01,391.14285714285717,2214.5714285714284,BANGOR HYDRO DISTRICT,SMALL
2013-02-01,365.14285714285717,2334.1428571428573,BANGOR HYDRO DISTRICT,SMALL
2013-01-01,394.2857142857143,2594.8571428571427,BANGOR HYDRO DISTRICT,SMALL
2012-12-01,368.0,2606.4285714285716,BANGOR HYDRO DISTRICT,SMALL
2012-11-01,295.2857142857143,2342.285714285714,BANGOR HYDRO DISTRICT,SMALL
