Date,Utility,Subutility,Rate
12/1/19,CMP,,0.090029
11/1/19,CMP,,0.090029
10/1/19,CMP,,0.090029
9/1/19,CMP,,0.090029
8/1/19,CMP,,0.090029
7/1/19,CMP,,0.090029
6/1/19,CMP,,0.090029
5/1/19,CMP,,0.090029
4/1/19,CMP,,0.090029
3/1/19,CMP,,0.090029
2/1/19,CMP,,0.090029
1/1/19,CMP,,0.090029
12/1/18,CMP,,0.0792063
11/1/18,CMP,,0.0792063
10/1/18,CMP,,0.0792063
9/1/18,CMP,,0.0792063
8/1/18,CMP,,0.0792063
7/1/18,CMP,,0.0792063
6/1/18,CMP,,0.0792063
5/1/18,CMP,,0.0792063
4/1/18,CMP,,0.0792063
3/1/18,CMP,,0.0792063
2/1/18,CMP,,0.0792063
1/1/18,CMP,,0.0792063
12/1/17,CMP,,0.06691
11/1/17,CMP,,0.06691
10/1/17,CMP,,0.06691
9/1/17,CMP,,0.06691
8/1/17,CMP,,0.06691
7/1/17,CMP,,0.06691
6/1/17,CMP,,0.06691
5/1/17,CMP,,0.06691
4/1/17,CMP,,0.06691
3/1/17,CMP,,0.06691
2/1/17,CMP,,0.06691
1/1/17,CMP,,0.06691
12/1/16,CMP,,0.06443
11/1/16,CMP,,0.06443
10/1/16,CMP,,0.06443
9/1/16,CMP,,0.06443
8/1/16,CMP,,0.06443
7/1/16,CMP,,0.06443
6/1/16,CMP,,0.06443
5/1/16,CMP,,0.06443
4/1/16,CMP,,0.06443
3/1/16,CMP,,0.06443
2/1/16,CMP,,0.0656
1/1/16,CMP,,0.0656
12/1/15,CMP,,0.065441
11/1/15,CMP,,0.065441
10/1/15,CMP,,0.065441
9/1/15,CMP,,0.065441
8/1/15,CMP,,0.065441
7/1/15,CMP,,0.065441
6/1/15,CMP,,0.065441
5/1/15,CMP,,0.065441
4/1/15,CMP,,0.065441
3/1/15,CMP,,0.065441
2/1/15,CMP,,0.075603
1/1/15,CMP,,0.075603
12/1/14,CMP,,0.075603
11/1/14,CMP,,0.075603
10/1/14,CMP,,0.075603
9/1/14,CMP,,0.075603
8/1/14,CMP,,0.075603
7/1/14,CMP,,0.075603
6/1/14,CMP,,0.075603
5/1/14,CMP,,0.075603
4/1/14,CMP,,0.075603
3/1/14,CMP,,0.075603
2/1/14,CMP,,0.06826
1/1/14,CMP,,0.06826
12/1/13,CMP,,0.06826
11/1/13,CMP,,0.06826
10/1/13,CMP,,0.06826
9/1/13,CMP,,0.06826
8/1/13,CMP,,0.06826
7/1/13,CMP,,0.06826
6/1/13,CMP,,0.06826
5/1/13,CMP,,0.06826
4/1/13,CMP,,0.06826
3/1/13,CMP,,0.06826
2/1/13,CMP,,0.07438
1/1/13,CMP,,0.07438
12/1/12,CMP,,0.07438
11/1/12,CMP,,0.07438
10/1/12,CMP,,0.07438
9/1/12,CMP,,0.07438
8/1/12,CMP,,0.07438
7/1/12,CMP,,0.07438
6/1/12,CMP,,0.07438
5/1/12,CMP,,0.07438
4/1/12,CMP,,0.07438
3/1/12,CMP,,0.07438
2/1/12,CMP,,0.084906
1/1/12,CMP,,0.084906
12/1/19,Versant Power,BHE,0.083695
11/1/19,Versant Power,BHE,0.083695
10/1/19,Versant Power,BHE,0.083695
9/1/19,Versant Power,BHE,0.083695
8/1/19,Versant Power,BHE,0.083695
7/1/19,Versant Power,BHE,0.083695
6/1/19,Versant Power,BHE,0.083695
5/1/19,Versant Power,BHE,0.083695
4/1/19,Versant Power,BHE,0.083695
3/1/19,Versant Power,BHE,0.083695
2/1/19,Versant Power,BHE,0.083695
1/1/19,Versant Power,BHE,0.083695
12/1/18,Versant Power,BHE,0.07225
11/1/18,Versant Power,BHE,0.07225
10/1/18,Versant Power,BHE,0.07225
9/1/18,Versant Power,BHE,0.07225
8/1/18,Versant Power,BHE,0.07225
7/1/18,Versant Power,BHE,0.07225
6/1/18,Versant Power,BHE,0.07225
5/1/18,Versant Power,BHE,0.07225
4/1/18,Versant Power,BHE,0.07225
3/1/18,Versant Power,BHE,0.07225
2/1/18,Versant Power,BHE,0.07225
1/1/18,Versant Power,BHE,0.07225
12/1/17,Versant Power,BHE,0.06322
11/1/17,Versant Power,BHE,0.06322
10/1/17,Versant Power,BHE,0.06322
9/1/17,Versant Power,BHE,0.06322
8/1/17,Versant Power,BHE,0.06322
7/1/17,Versant Power,BHE,0.06322
6/1/17,Versant Power,BHE,0.06322
5/1/17,Versant Power,BHE,0.06322
4/1/17,Versant Power,BHE,0.06322
3/1/17,Versant Power,BHE,0.06322
2/1/17,Versant Power,BHE,0.06322
1/1/17,Versant Power,BHE,0.06322
12/1/16,Versant Power,BHE,0.0663
11/1/16,Versant Power,BHE,0.0663
10/1/16,Versant Power,BHE,0.0663
9/1/16,Versant Power,BHE,0.0663
8/1/16,Versant Power,BHE,0.0663
7/1/16,Versant Power,BHE,0.0663
6/1/16,Versant Power,BHE,0.0663
5/1/16,Versant Power,BHE,0.0663
4/1/16,Versant Power,BHE,0.0663
3/1/16,Versant Power,BHE,0.0663
2/1/16,Versant Power,BHE,0.06594
1/1/16,Versant Power,BHE,0.06594
12/1/15,Versant Power,BHE,0.0650422
11/1/15,Versant Power,BHE,0.0650422
10/1/15,Versant Power,BHE,0.0650422
9/1/15,Versant Power,BHE,0.0650422
8/1/15,Versant Power,BHE,0.0650422
7/1/15,Versant Power,BHE,0.0650422
6/1/15,Versant Power,BHE,0.0650422
5/1/15,Versant Power,BHE,0.0650422
4/1/15,Versant Power,BHE,0.0650422
3/1/15,Versant Power,BHE,0.0650422
2/1/15,Versant Power,BHE,0.07576
1/1/15,Versant Power,BHE,0.07576
12/1/14,Versant Power,BHE,0.07576
11/1/14,Versant Power,BHE,0.07576
10/1/14,Versant Power,BHE,0.07576
9/1/14,Versant Power,BHE,0.07576
8/1/14,Versant Power,BHE,0.07576
7/1/14,Versant Power,BHE,0.07576
6/1/14,Versant Power,BHE,0.07576
5/1/14,Versant Power,BHE,0.07576
4/1/14,Versant Power,BHE,0.07576
3/1/14,Versant Power,BHE,0.07576
2/1/14,Versant Power,BHE,0.06695
1/1/14,Versant Power,BHE,0.06695
12/1/13,Versant Power,BHE,0.06695
11/1/13,Versant Power,BHE,0.06695
10/1/13,Versant Power,BHE,0.06695
9/1/13,Versant Power,BHE,0.06695
8/1/13,Versant Power,BHE,0.06695
7/1/13,Versant Power,BHE,0.06695
6/1/13,Versant Power,BHE,0.06695
5/1/13,Versant Power,BHE,0.06695
4/1/13,Versant Power,BHE,0.06695
3/1/13,Versant Power,BHE,0.06695
2/1/13,Versant Power,BHE,0.071389
1/1/13,Versant Power,BHE,0.071389
12/1/12,Versant Power,BHE,0.071389
11/1/12,Versant Power,BHE,0.071389
10/1/12,Versant Power,BHE,0.071389
9/1/12,Versant Power,BHE,0.071389
8/1/12,Versant Power,BHE,0.071389
7/1/12,Versant Power,BHE,0.071389
6/1/12,Versant Power,BHE,0.071389
5/1/12,Versant Power,BHE,0.071389
4/1/12,Versant Power,BHE,0.071389
3/1/12,Versant Power,BHE,0.071389
2/1/12,Versant Power,BHE,0.082517
1/1/12,Versant Power,BHE,0.082517
12/1/19,Versant Power,MPS,0.08461
11/1/19,Versant Power,MPS,0.08461
10/1/19,Versant Power,MPS,0.08461
9/1/19,Versant Power,MPS,0.08461
8/1/19,Versant Power,MPS,0.08461
7/1/19,Versant Power,MPS,0.08461
6/1/19,Versant Power,MPS,0.08461
5/1/19,Versant Power,MPS,0.08461
4/1/19,Versant Power,MPS,0.08461
3/1/19,Versant Power,MPS,0.08461
2/1/19,Versant Power,MPS,0.08461
1/1/19,Versant Power,MPS,0.08461
12/1/18,Versant Power,MPS,0.07423
11/1/18,Versant Power,MPS,0.07423
10/1/18,Versant Power,MPS,0.07423
9/1/18,Versant Power,MPS,0.07423
8/1/18,Versant Power,MPS,0.07423
7/1/18,Versant Power,MPS,0.07423
6/1/18,Versant Power,MPS,0.07423
5/1/18,Versant Power,MPS,0.07423
4/1/18,Versant Power,MPS,0.07423
3/1/18,Versant Power,MPS,0.07423
2/1/18,Versant Power,MPS,0.07423
1/1/18,Versant Power,MPS,0.07423
12/1/17,Versant Power,MPS,0.07049
11/1/17,Versant Power,MPS,0.07049
10/1/17,Versant Power,MPS,0.07049
9/1/17,Versant Power,MPS,0.07049
8/1/17,Versant Power,MPS,0.07049
7/1/17,Versant Power,MPS,0.07049
6/1/17,Versant Power,MPS,0.07049
5/1/17,Versant Power,MPS,0.07092
4/1/17,Versant Power,MPS,0.07092
3/1/17,Versant Power,MPS,0.07092
2/1/17,Versant Power,MPS,0.07092
1/1/17,Versant Power,MPS,0.07092
12/1/16,Versant Power,MPS,0.07092
11/1/16,Versant Power,MPS,0.07092
10/1/16,Versant Power,MPS,0.08493
9/1/16,Versant Power,MPS,0.08493
8/1/16,Versant Power,MPS,0.08493
7/1/16,Versant Power,MPS,0.08493
6/1/16,Versant Power,MPS,0.08493
5/1/16,Versant Power,MPS,0.08493
