"","Hour","Date","West Enfield","Jonesboro","Total Billable","Period.x","Above Market Costs","X__1","***Check Cap in CMP file***","Ashland","Fort Fairfield","Running MWh Total","Billable","LMP","Period.y","Above Market Price","Reimbursable Above Market Costs","Running Payment Total"
"1",1,2017-01-01,"19.017","0","19.017","1/2017",254.8278,"","","","","","","","","","",""
"2",1,2017-01-02,"18.979","0","18.979","1/2017",254.3186,"","","","","","","","","","",""
"3",1,2017-01-03,"18.774","0","18.774","1/2017",251.5716,"","","","","","","","","","",""
"4",1,2017-01-04,"19.589","0","19.589","1/2017",262.4926,"","","","","","","","","","",""
"5",1,2017-01-05,"18.198","0","18.198","1/2017",243.8532,"","","","","","","","","","",""
"6",1,2017-01-06,"18.882","0","18.882","1/2017",253.0188,"","","","","","","","","","",""
"7",1,2017-01-07,"18.364","5.647","24.011","1/2017",321.7474,"","","","","","","","","","",""
"8",1,2017-01-08,"18.859","5.897","24.756","1/2017",331.7304,"","","","","","","","","","",""
"9",1,2017-01-09,"18.506","11.164","29.67","1/2017",397.578,"","","","","","","","","","",""
"10",1,2017-01-10,"18.27","18.571","36.841","1/2017",493.6694,"","","","","","","","","","",""
"11",1,2017-01-11,"18.617","15.199","33.816","1/2017",453.1344,"","","","","","","","","","",""
"12",1,2017-01-12,"17.273","19.445","36.718","1/2017",492.0212,"","","","","","","","","","",""
"13",1,2017-01-13,"19.048","20.718","39.766","1/2017",532.8644,"","","","","","","","","","",""
"14",1,2017-01-14,"18.873","16.187","35.06","1/2017",469.804,"","","","","","","","","","",""
"15",1,2017-01-15,"18.563","12.341","30.904","1/2017",414.1136,"","","","","","","","","","",""
"16",1,2017-01-16,"18.824","12.305","31.129","1/2017",417.1286,"","","","","","","","","","",""
"17",1,2017-01-17,"19.316","14.11","33.426","1/2017",447.9084,"","","","","","","","","","",""
"18",1,2017-01-18,"19.402","6.71","26.112","1/2017",349.9008,"","","","","","","","","","",""
"19",1,2017-01-19,"19.343","7.663","27.006","1/2017",361.8804,"","","","","","","","","","",""
"20",1,2017-01-20,"19.391","6.163","25.554","1/2017",342.4236,"","","","","","","","","","",""
"21",1,2017-01-21,"18.702","7.814","26.516","1/2017",355.3144,"","","","","","","","","","",""
"22",1,2017-01-22,"18.52","7.4","25.92","1/2017",347.328,"","","","","","","","","","",""
"23",1,2017-01-23,"18.14","7.067","25.207","1/2017",337.7738,"","","","","","","","","","",""
"24",1,2017-01-24,"18.643","6.01","24.653","1/2017",330.3502,"","","","","","","","","","",""
"25",1,2017-01-25,"0","7.317","7.317","1/2017",98.0478,"","","","","","","","","","",""
"26",1,2017-01-26,"0","7.24","7.24","1/2017",97.016,"","","","","","","","","","",""
"27",1,2017-01-27,"0","0","0","1/2017",0,"","","","","","","","","","",""
"28",1,2017-01-28,"10.445","0","10.445","1/2017",139.963,"","","","","","","","","","",""
"29",1,2017-01-29,"16.825","8.604","25.429","1/2017",340.7486,"","","","","","","","","","",""
"30",1,2017-01-30,"18.938","7.238","26.176","1/2017",350.7584,"","","","","","","","","","",""
