,area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg,area_title,industry_title
0,1000,5,511110,58,0,2018,A,,130,1893,79377951,16930631,340571,806,41923,,1.43,0.96,0.92,0.87,1.2,0.96,0.96,,-1,-0.8,-161,-7.8,-2217649,-2.7,-1625906,-8.8,51244,17.7,42,5.5,2196,5.5,Alabama,NAICS 511110 Newspaper publishers
1,2000,5,511110,58,0,2018,A,,19,358,13707419,11569575,174818,736,38262,,1.22,1.11,0.83,1.17,1.02,0.74,0.75,,-4,-17.4,-103,-22.3,-3023343,-18.1,-3053254,-20.9,-49724,-22.1,38,5.4,1963,5.4,Alaska,NAICS 511110 Newspaper publishers
2,4000,5,511110,58,0,2018,A,,89,2204,106500512,18455215,220722,929,48332,,0.78,0.78,0.79,0.69,0.33,1.01,1.01,,5,6.0,-150,-6.4,-398499,-0.4,-637220,-3.3,-256250,-53.7,56,6.4,2916,6.4,Arizona,NAICS 511110 Newspaper publishers
3,5000,5,511110,58,0,2018,A,,90,1755,55743034,19057320,190375,611,31756,,1.39,1.45,1.13,1.34,0.78,0.78,0.78,,-2,-2.2,-231,-11.6,-5306312,-8.7,-5593365,-22.7,-104358,-35.4,20,3.4,1023,3.3,Arkansas,NAICS 511110 Newspaper publishers
4,6000,5,511110,58,0,2018,A,,500,9986,614512928,84171596,4619643,1183,61539,,0.45,0.57,0.56,0.51,0.6,0.97,0.97,,1,0.2,-1127,-10.1,-42767076,-6.5,-4044694,-4.6,-298503,-6.1,46,4.0,2396,4.1,California,NAICS 511110 Newspaper publishers
5,8000,5,511110,58,0,2018,A,,125,2535,125271565,36184945,632946,950,49412,,0.85,0.95,0.86,0.84,0.86,0.91,0.91,,-6,-4.6,-191,-7.0,-8334324,-6.2,-1761349,-4.6,-303582,-32.4,7,0.7,397,0.8,Colorado,NAICS 511110 Newspaper publishers
6,9000,5,511110,58,0,2018,A,,57,1800,85392699,29217359,1416760,913,47451,,0.66,1.07,0.81,1.11,1.45,0.76,0.76,,-7,-10.9,-135,-7.0,-5775080,-6.3,-3288472,-10.1,-266427,-15.8,7,0.8,328,0.7,Connecticut,NAICS 511110 Newspaper publishers
7,10000,5,511110,58,0,2018,A,,16,436,20209666,7386897,168664,892,46370,,0.68,0.97,0.86,0.99,1.41,0.88,0.88,,1,6.7,-24,-5.2,-1503969,-6.9,-1609182,-17.9,24570,17.1,-15,-1.7,-791,-1.7,Delaware,NAICS 511110 Newspaper publishers
8,12000,5,511110,58,0,2018,A,,300,6952,352214744,59848735,596293,974,50664,,0.61,0.8,0.87,0.72,0.83,1.1,1.1,,-13,-4.2,-545,-7.3,-18014216,-4.9,-4858601,-7.5,-529855,-47.1,24,2.5,1283,2.6,Florida,NAICS 511110 Newspaper publishers
9,13000,5,511110,58,0,2018,A,,211,4467,382754137,48799442,895637,1648,85693,,1.06,1.01,1.75,0.91,1.05,1.74,1.74,,-1,-0.5,-399,-8.2,-164157085,-30.0,-5167890,-9.6,-368128,-29.1,-513,-23.7,-26694,-23.8,Georgia,NAICS 511110 Newspaper publishers
10,15000,5,511110,58,0,2018,A,,16,626,35559662,25294077,207786,1092,56767,,0.53,0.95,1.15,1.25,0.88,1.21,1.21,,0,0.0,-44,-6.6,-1736924,-4.7,-638098,-2.5,33980,19.6,22,2.1,1114,2.0,Hawaii,NAICS 511110 Newspaper publishers
11,16000,5,511110,58,0,2018,A,,61,971,38618445,27560526,163481,765,39782,,1.34,1.33,1.33,1.37,0.95,1.0,1.01,,-13,-17.6,-65,-6.3,-4358395,-10.1,-1447336,-5.0,-63093,-27.8,-33,-4.1,-1691,-4.1,Idaho,NAICS 511110 Newspaper publishers
12,17000,5,511110,58,0,2018,A,,279,5607,291972681,76681453,2671214,1001,52070,,1.06,0.94,0.88,0.89,1.11,0.94,0.94,,-17,-5.7,-683,-10.9,-25924790,-8.2,-8687252,-10.2,-605704,-18.5,29,3.0,1529,3.0,Illinois,NAICS 511110 Newspaper publishers
