,facility.id,facility.callSign,facility.service,facility.rfChannel,facility.virtualChannel,facility.licenseExpirationDate,facility.statusDate,facility.status,facility.communityCity,facility.communityState,facility.facilityType,facility.frequency,facility.activeInd,facility.scannedLetterIds,facility.cenEmail,facility.cenPhone,facility.partyName,facility.partyAddress1,facility.partyAddress2,facility.partyCity,facility.partyZip1,facility.partyZip2,facility.partyState,facility.partyPhone,facility.nielsenDma,facility.networkAfil,facility.band,facility.authAppId,facility.authAppIdLMS,facility.lmsRenewalId,facility.postCardId,facility.mainStudioContact.contactAddress1,facility.mainStudioContact.contactAddress2,facility.mainStudioContact.contactCity,facility.mainStudioContact.contactZip,facility.mainStudioContact.contactZipExt,facility.mainStudioContact.contactState,facility.mainStudioContact.contactPhone,facility.mainStudioContact.contactFax,facility.mainStudioContact.contactWebsite,facility.mainStudioContact.contactEmail,facility.mainStudioContact.contactName,facility.mainStudioContact.contactTitle,facility.mainStudioContact.contactPhoneExt,facility.ccContact.contactAddress1,facility.ccContact.contactAddress2,facility.ccContact.contactCity,facility.ccContact.contactZip,facility.ccContact.contactZipExt,facility.ccContact.contactState,facility.ccContact.contactPhone,facility.ccContact.contactFax,facility.ccContact.contactWebsite,facility.ccContact.contactEmail,facility.ccContact.contactName,facility.ccContact.contactTitle,facility.ccContact.contactPhoneExt
0,39649,WMED-TV,Digital TV,10,13,04/01/2023,05/05/2009,LICENSED,CALAIS,ME,EDT,192.0,Y,,jmahaney@mainepublic.org,2074045118,MAINE PUBLIC BROADCASTING CORPORATION,1450 LISBON ST,,LEWISTON,04240,3514,ME,(207)783-9101,BANGOR,PBS,High V,632411,,,1658491,63 Texas Avenue,,Bangor,04401,,ME,2074045118,,www.mainepublic.org,jmahaney@mainepublic.org,Jeffrey Mahaney,,,Maine Public,63 Texas Avenue,Bangor,04401,,ME,800-884-1717,207-942-2857,www.mainepublic.org,closedcaptioning@mpbn.net,Mr. Tristan Richards,Director of Operations,
1,39659,WCBB,Digital TV,10,10,04/01/2023,05/05/2009,LICENSED,AUGUSTA,ME,EDT,192.0,Y,,jmahaney@mainepublic.org,2074045118,MAINE PUBLIC BROADCASTING CORPORATION,1450 LISBON ST,,LEWISTON,04240,3514,ME,(207)783-9101,PORTLAND-AUBURN,PBS,High V,1297494,,,1658447,63 Texas Avenue,,Bangor,04401,,ME,2074045118,,www.mainepublic.org,jmahaney@mainepublic.org,Jeffrey Mahaney,,,Maine Public,63 Texas Avenue,Bangor,04401,,ME,800-884-1717,207-942-2857,www.mainepublic.org,closedcaptioning@mpbn.net,Mr. Tristan Richards,Director of Operations,
2,39662,WMEM-TV,Digital TV,10,10,04/01/2023,05/05/2009,LICENSED,PRESQUE ISLE,ME,EDT,,Y,,jmahaney@mainepublic.org,2074045118,MAINE PUBLIC BROADCASTING CORPORATION,1450 LISBON ST,,LEWISTON,04240,3514,ME,(207)783-9101,PRESQUE ISLE,PBS,High V,1289835,,,1658494,63 Texas Avenue,,Bangor,04401,,ME,2074045118,,www.mainepublic.org,jmahaney@mainepublic.org,Jeffrey Mahaney,,,Maine Public,63 Texas Avenue,Bangor,04401,,ME,800-884-1717,207-942-2857,www.mainepublic.org,closedcaptioning@mpbn.net,Mr. Tristan Richards,Director of Operations,
3,25683,WGME-TV,Digital TV,15,13,04/01/2023,05/05/2009,LICENSED,PORTLAND,ME,CDT,476.0,Y,,CarriageElectionsContact@sbgtv.com,4105681555,"WGME LICENSEE, LLC","C/O MILES S. MASON, PILLSBURY WINTHROP S","1200 SEVENTEENTH STREET, NW",WASHINGTON,20036,,DC,(202)663-8195,PORTLAND-AUBURN,CBS,UHF,2022509,25076f916b249e81016b2d723aac090d,,,81 Northport Drive,,Portland,04103,,ME,2077971313,,www.wgme.com,tvmail@wgme.com,,,,"Sinclair Broadcast Group, Inc",10706 Beaver Dam Road,Hunt Valley,21030,,MD,410-568-1500,410-568-1537,,sdomozyc@sbgi.net,Susan E. Domozych,Senior Paralegal,
4,48408,WIPL,Digital TV,24,35,04/01/2023,05/05/2009,LICENSED,LEWISTON,ME,CDT,530.0,Y,,IONLegal@ionmedia.com,212-603-8461,"ION MEDIA LICENSE COMPANY, LLC",601 CLEARWATER PARK ROAD,,WEST PALM BEACH,33401,,FL,(561)682-4300,,ION,UHF,2021900,25076f916b90cf58016b9f596c5a3a9b,,,601 Clearwater Park Road,,West Palm Beach,33401,,FL,888-467-2988,,,,,,,601 Clearwater Park Road,,West Palm Beach,33401,,FL,888-467-2988,,,vieweremail@ionmedia.com,Bianca Frye,Paralegal,
5,3667,WVII-TV,Digital TV,7,7,04/01/2023,05/05/2009,LICENSED,BANGOR,ME,CDT,174.0,Y,,mikep@wvii.com,207-945-6457,"BANGOR COMMUNICATIONS, LLC.",371 TARGET INDUSTRIAL CIRCLE,,BANGOR,04401,,ME,(207)945-6457,BANGOR,ABC,High V,1295665,,,1687881,371 Target Industrial Circle,,Bangor,04401,,ME,2079456457,2079420511,www.wvii.com,mikep@wvii.com,Michael Palmer,,3101,371 Target Industrial Circle,,Bangor,04401,,ME,207-945-6457,207-942-0511,,kylesmith@wvii.com,Kyle Smith,Chief Engineer,
6,39644,WLBZ,Digital TV,2,2,04/01/2023,06/16/2009,LICENSED,BANGOR,ME,CDT,54.0,Y,,Retransmission@tegna.com,703-873-6719,"PACIFIC AND SOUTHERN, LLC","TEGNA, INC.","8350 BROAD STREET, SUITE 2000",TYSONS,22102,,VA,(703)873-6606,BANGOR,NBC,Low V,1331444,,,1659532,329 Mt. Hope Ave.,,Bangor,04401,,ME,207-991-5311,,https://www.newscentermaine.com,judy.horan@newscentermaine.com,Judith Horan,,,329 Mt. Hope Ave,,Bangor,04401,,ME,207-523-2937,207-828-6620,https://www.newscentermaine.com/closed-captioning,closedcaptioning@wlbz2.com,Nathan Tinsley,Technology Manager,
7,39648,WMEB-TV,Digital TV,9,12,04/01/2023,05/05/2009,LICENSED,ORONO,ME,EDT,186.0,Y,,jmahaney@mainepublic.org,2074045118,MAINE PUBLIC BROADCASTING CORPORATION,1450 LISBON STREET,,LEWISTON,04240,3514,ME,(207)783-9101,BANGOR,PBS,High V,603000,,,1658463,63 Texas Ave,,Bangor,04401,,ME,2074045118,,www.mainepublic.org,jmahaney@mainepublic.org,Jeffrey Mahaney,,,Maine Public,63 Texas Avenue,Bangor,04401,,ME,800-884-1717,207-942-2857,www.mainepublic.org,closedcaptioning@mpbn.net,Mr. Tristan Richards,Director of Operations,
8,39656,WMEA-TV,Digital TV,36,26,04/01/2023,05/05/2009,LICENSED,BIDDEFORD,ME,EDT,602.0,Y,,jmahaney@mainepublic.org,207-404-5118,MAINE PUBLIC BROADCASTING CORPORATION,1450 LISBON ST,,LEWISTON,04240,3514,ME,(207)783-9101,PORTLAND-AUBURN,PBS,UHF,2035730,25076ff370b21dbf0170cae8079020ff,,,63 Texas Avenue,,Bangor,04401,,ME,2074045118,,www.mainepublic.org,jmahaney@mainepublic.org,Jeffrey Mahaney,,,Maine Public,63 Texas Avenue,Bangor,04401,,ME,800-884-1717,207-942-2857,mainepublic.org,closedcaptioning@mpbn.net,Mr. Tristan Richards,Director of Operations,
9,39664,WCSH,Digital TV,31,6,04/01/2023,06/16/2009,LICENSED,PORTLAND,ME,CDT,572.0,Y,,Retransmission@tegna.com,703-873-6719,"PACIFIC AND SOUTHERN, LLC","TEGNA, INC.","8350 BROAD STREET, SUITE 2000",TYSONS,22102,,VA,(703)873-6606,PORTLAND-AUBURN,NBC,UHF,2037254,25076f91730742f401730b770e64066a,,,One Congress Square,,Portland,04101,,ME,207-523-2912,,https://www.newscentermaine.com,brian.cliffe@newscentermaine.com,Brian Cliffe,,,One Congress Square,,Portland,04101,,ME,207-523-2937,207-523-2937,https://www.newscentermaine.com/closed-captioning,ClosedCaptioning@WCSH6.com,Nathan Tinsley,Technology Manager,
