,id,callSign,frequency,activeInd,medium
1,257,WWAT-CD,656.0,Y,tv
2,334,K20JX-D,548.0,Y,tv
3,8688,WRAL-TV,488.0,Y,tv
4,412,WRLH-TV,530.0,Y,tv
5,2130,WZRA-CD,674.0,Y,tv
6,10133,WRAY-TV,536.0,Y,tv
7,10212,WOTV,488.0,Y,tv
8,3660,KLBK-TV,572.0,Y,tv
9,14682,WWJE-DT,596.0,Y,tv
10,28324,KTBU,584.0,Y,tv
11,28510,KSMQ-TV,506.0,Y,tv
12,28954,WTCV,512.0,Y,tv
13,29557,KNWA-TV,584.0,Y,tv
14,33764,KDBC-TV,494.0,Y,tv
15,33875,KCRA-TV,596.0,Y,tv
16,35652,KTBS-TV,554.0,Y,tv
17,35670,KTLA,596.0,Y,tv
18,35903,KWTX-TV,192.0,Y,tv
19,36846,KWHE,572.0,Y,tv
20,10318,WBGT-CD,626.0,Y,tv
21,36918,KGUN-TV,186.0,Y,tv
22,37179,WLTZ,596.0,Y,tv
23,25932,WHRO-TV,572.0,Y,tv
24,26025,WIFS,512.0,Y,tv
25,28462,WNDY-TV,186.0,Y,tv
26,12395,KNDO,482.0,Y,tv
27,38586,WLPB-TV,536.0,Y,tv
28,38587,KLTL-TV,506.0,Y,tv
29,39649,WMED-TV,192.0,Y,tv
30,39659,WCBB,192.0,Y,tv
31,12520,WGMB-TV,530.0,Y,tv
32,14867,KCBA,198.0,Y,tv
33,33471,KATC,554.0,Y,tv
34,13456,WPBT,560.0,Y,tv
35,13595,WEDY,566.0,Y,tv
36,39662,WMEM-TV,,Y,tv
37,42122,KFMB-TV,180.0,Y,tv
38,16363,WBUI,518.0,Y,tv
39,19653,KSBW,180.0,Y,tv
40,20373,KRMZ,192.0,Y,tv
41,20624,WMYT-TV,536.0,Y,tv
42,43095,KMTP-TV,554.0,Y,tv
43,43168,WMPN-TV,506.0,Y,tv
44,21656,KOMO-TV,566.0,Y,tv
45,21801,WFSU-TV,578.0,Y,tv
46,46753,KDAO-CD,,Y,tv
47,47070,KGCT-CD,536.0,Y,tv
48,22129,WDAY-TV,512.0,Y,tv
49,22207,WTTG,602.0,Y,tv
50,47981,KMNE-TV,174.0,Y,tv
51,48406,WPXG-TV,584.0,Y,tv
52,5010,K23EX-D,524.0,Y,tv
53,6568,WBGU-TV,518.0,Y,tv
54,48408,WIPL,530.0,Y,tv
55,48813,WUVG-DT,596.0,Y,tv
56,50170,KOCB,584.0,Y,tv
57,50592,KTVR,210.0,Y,tv
58,55108,WIRE-CD,626.0,Y,tv
59,22590,WTVC,186.0,Y,tv
60,33710,KCCI,180.0,Y,tv
61,50633,KPTV,204.0,Y,tv
62,23179,K36DB-CD,602.0,Y,tv
63,23302,KNSO,548.0,Y,tv
64,23428,KSTW,198.0,Y,tv
65,52953,KSPX-TV,674.0,Y,tv
66,715,WFIQ,518.0,Y,tv
67,24753,KMOH-TV,500.0,Y,tv
68,53320,KGFE,476.0,Y,tv
69,53716,WQLN,548.0,Y,tv
70,53903,KETV,506.0,Y,tv
71,10645,WTVI,198.0,Y,tv
72,34440,KEMO-TV,620.0,Y,tv
73,53930,WGAL,180.0,Y,tv
74,54011,KLJB,566.0,Y,tv
75,2506,KAPP,470.0,Y,tv
76,24766,KKCO,204.0,Y,tv
77,54280,WNOL-TV,476.0,Y,tv
78,54414,WDEM-CD,488.0,Y,tv
79,2722,KUAS-TV,554.0,Y,tv
80,4691,KDLH,584.0,Y,tv
81,41095,WRTD-CD,746.0,Y,tv
82,55315,WRLW-CD,,Y,tv
83,4148,KBAK-TV,584.0,Y,tv
84,26602,WELU,506.0,Y,tv
85,55528,KNME-TV,596.0,Y,tv
86,64544,KHVO,210.0,Y,tv
87,27290,WPXP-TV,602.0,Y,tv
88,34470,KGO-TV,204.0,Y,tv
89,56032,KLEW-TV,578.0,Y,tv
90,28119,WZDX,494.0,Y,tv
91,35131,KMID,542.0,Y,tv
92,56033,KIMA-TV,584.0,Y,tv
93,363,WCAV,578.0,Y,tv
94,25683,WGME-TV,476.0,Y,tv
95,28199,WDNI-CD,,Y,tv
96,56549,WSYX,554.0,Y,tv
97,57220,KLUZ-TV,518.0,Y,tv
98,57457,K17JI-D,204.0,Y,tv
99,57545,KLRA-CD,518.0,Y,tv
100,57840,WSLS-TV,590.0,Y,tv
101,58978,KPXN-TV,530.0,Y,tv
102,59255,KIVI-TV,530.0,Y,tv
103,60653,WETM-TV,494.0,Y,tv
104,60683,KSWK,180.0,Y,tv
105,61011,WRET-TV,644.0,Y,tv
106,417,WVAH-TV,530.0,Y,tv
107,589,WAFB,186.0,Y,tv
108,37174,WJCL,518.0,Y,tv
109,61062,KZSD-TV,180.0,Y,tv
110,61551,KPIC,500.0,Y,tv
111,61961,KVLY-TV,602.0,Y,tv
112,62136,WPBS-TV,542.0,Y,tv
113,2768,KETG,210.0,Y,tv
114,29096,KSIN-TV,554.0,Y,tv
115,29234,KAZA-TV,518.0,Y,tv
116,38584,KMCT-TV,614.0,Y,tv
117,62182,KETC,524.0,Y,tv
118,63927,KUVE-DT,590.0,Y,tv
119,6823,KBYU-TV,488.0,Y,tv
120,16517,WUVC-DT,518.0,Y,tv
121,40211,WYBE-CD,650.0,Y,tv
122,64547,WGRZ,584.0,Y,tv
123,64550,WQOW,536.0,Y,tv
124,64551,KMAU,204.0,Y,tv
125,69753,KVER-CD,66.0,Y,tv
126,4108,WTTA,186.0,Y,tv
127,42061,WKNO,560.0,Y,tv
128,64865,WORA-TV,560.0,Y,tv
129,64969,KVDA,476.0,Y,tv
130,64987,KSTS,500.0,Y,tv
131,65204,WBBJ-TV,596.0,Y,tv
132,65247,WAWV-TV,620.0,Y,tv
133,65526,KRON-TV,174.0,Y,tv
134,65528,WOWT,518.0,Y,tv
135,65696,WBAL-TV,198.0,Y,tv
136,8523,KAMR-TV,500.0,Y,tv
137,8616,WPVI-TV,82.0,Y,tv
138,33543,KATV,518.0,Y,tv
139,43169,WMAW-TV,554.0,Y,tv
140,65943,WWPB,560.0,Y,tv
141,67347,KWOG,560.0,Y,tv
142,48666,WECT,650.0,Y,tv
143,48667,WJTV,204.0,Y,tv
144,67760,KTSM-TV,482.0,Y,tv
145,68547,WWRS-TV,644.0,Y,tv
146,68886,KUTP,542.0,Y,tv
147,68889,KTVX,566.0,Y,tv
148,1151,KAZQ,488.0,Y,tv
149,3659,KOZL-TV,554.0,Y,tv
150,3661,WTVW,518.0,Y,tv
151,69114,WUNE-TV,488.0,Y,tv
152,69993,WBQP-CD,204.0,Y,tv
153,70251,WPXR-TV,548.0,Y,tv
154,70287,WTJX-TV,650.0,Y,tv
155,22215,KSTU,554.0,Y,tv
156,71072,KORX-CD,482.0,Y,tv
157,71074,KOXI-CD,500.0,Y,tv
158,71353,WDSI-TV,470.0,Y,tv
159,71357,WDSU,500.0,Y,tv
160,71861,WKYU-TV,494.0,Y,tv
161,34457,KGBT-TV,494.0,Y,tv
162,34564,KICU-TV,602.0,Y,tv
163,35189,KMTR,488.0,Y,tv
164,2770,KETS,174.0,Y,tv
165,9617,WBBM-TV,204.0,Y,tv
166,35587,KSAZ-TV,192.0,Y,tv
167,35666,KTEN,488.0,Y,tv
168,12522,KWKT-TV,554.0,Y,tv
169,20287,WATM-TV,572.0,Y,tv
