city,make,model,vehicle_count,all_vehicles,vehicle_share,eliot_cutler,paul_lepage,mike_michaud,blank,others,total_votes_cast,town,winner,winner_share
Paris,Chev,Silverado,185,4484,0.041257806,222,1250,773,23,0,2268,PARIS,Paul LePage,55.67928731
Great Pond,Chev,Silverado,4,65,0.061538462,1,20,15,0,0,36,GREAT POND,Paul LePage,55.55555556
Ashland,Gmc,Sierra,64,1042,0.061420345,73,230,203,10,0,516,ASHLAND,Paul LePage,45.45454545
Portland,Suba,Forester,1618,48936,0.033063593,2402,6724,20833,188,1,30148,PORTLAND,Mike Michaud,69.53604806
Appleton,Chev,Silverado,54,1300,0.041538462,52,366,327,10,0,755,APPLETON,Paul LePage,49.12751678
Swanville,Chev,Silverado,71,1253,0.056664006,43,326,232,4,1,606,SWANVILLE,Paul LePage,54.15282392
Mapleton,Gmc,Sierra,125,1742,0.071756602,91,527,312,9,0,939,MAPLETON,Paul LePage,56.66666667
North Berwick,Chev,Silverado,147,4632,0.031735751,180,1217,798,26,0,2221,NORTH BERWICK,Paul LePage,55.44419134
Merrill,Chev,Silverado,15,226,0.066371681,10,53,48,1,0,112,MERRILL,Paul LePage,47.74774775
Wayne,Chev,Silverado,50,1286,0.038880249,60,310,333,4,0,707,WAYNE,Mike Michaud,47.36842105
Westport Island,Suba,Legacy,30,845,0.035502959,32,214,184,2,0,432,WESTPORT ISLAND,Paul LePage,49.76744186
Starks,Chev,Silverado,29,588,0.049319728,24,143,128,1,0,296,STARKS,Paul LePage,48.47457627
Prospect,Chev,Silverado,33,635,0.051968504,17,177,136,0,0,330,PROSPECT,Paul LePage,53.63636364
Skowhegan,Chev,Silverado,378,6964,0.05427915,218,1649,1596,58,0,3521,SKOWHEGAN,Paul LePage,47.61767254
Long Island,Club,Glfcrt,76,557,0.136445242,29,63,79,0,0,171,LONG ISLAND,Mike Michaud,46.19883041
Gray,Chev,Silverado,300,7671,0.03910833,360,2211,1415,32,0,4018,GRAY,Paul LePage,55.469142
Medway,Gmc,Sierra,58,1143,0.050743657,30,344,273,3,0,650,MEDWAY,Paul LePage,53.16846986
Charlotte,Chev,Silverado,24,305,0.078688525,10,93,52,1,0,156,CHARLOTTE,Paul LePage,60
Wellington,Ford,F150,12,198,0.060606061,4,42,59,1,2,108,WELLINGTON,Mike Michaud,55.14018692
Blue Hill,Suba,Outback,122,2751,0.04434751,136,562,773,10,0,1481,BLUE HILL,Mike Michaud,52.5492862
Winslow,Toyo,Camry,286,6734,0.042471042,280,1970,1479,29,0,3758,WINSLOW,Paul LePage,52.82917672
Saint Albans,Chev,Silverado,98,1812,0.054083885,67,596,270,6,0,939,SAINT ALBANS,Paul LePage,63.87995713
Lovell,Chev,Silverado,50,1267,0.039463299,49,326,222,3,1,601,LOVELL,Paul LePage,54.51505017
Cornville,Chev,Silverado,55,1183,0.04649197,33,370,238,4,0,645,CORNVILLE,Paul LePage,57.72230889
Montville,Chev,Silverado,43,912,0.047149123,28,199,255,3,0,485,MONTVILLE,Mike Michaud,52.90456432
Hodgdon,Gmc,Sierra,68,1073,0.063373719,54,364,125,3,0,546,HODGDON,Paul LePage,67.03499079
Hallowell,Suba,Forester,89,2073,0.042932947,96,397,934,14,0,1441,HALLOWELL,Mike Michaud,65.4519972
Lincoln,Ford,F150,216,4165,0.051860744,159,1211,677,28,0,2075,LINCOLN,Paul LePage,59.15974597
Brooksville,Toyo,Tacoma,46,1029,0.044703596,44,218,303,3,0,568,BROOKSVILLE,Mike Michaud,53.62831858
Mexico,Ford,F150,97,2132,0.045497186,97,540,474,8,0,1119,MEXICO,Paul LePage,48.60486049
Naples,Chev,Silverado,175,4021,0.043521512,133,1125,595,5,0,1858,NAPLES,Paul LePage,60.71235834
Rockport,Suba,Outback,119,3493,0.034068136,180,762,944,16,0,1902,ROCKPORT,Mike Michaud,50.05302227
Plymouth,Gmc,Sierra,66,1204,0.054817276,30,404,149,8,0,591,PLYMOUTH,Paul LePage,69.29674099
Edinburg,Gmc,Sierra,8,114,0.070175439,0,43,24,1,0,68,EDINBURG,Paul LePage,64.17910448
Columbia,Chev,Silverado,31,399,0.077694236,8,116,51,1,0,176,COLUMBIA,Paul LePage,66.28571429
Madawaska,Ford,F150,147,3341,0.043998803,123,525,1162,30,0,1840,MADAWASKA,Mike Michaud,64.19889503
Kingsbury Plt,Chev,Silverado,5,30,0.166666667,4,7,4,0,0,15,KINGSBURY PLT,Paul LePage,46.66666667
Hollis,Chev,Silverado,196,4405,0.044494892,165,1230,755,12,0,2162,HOLLIS,Paul LePage,57.20930233
Harrison,Chev,Silverado,94,2410,0.039004149,121,715,418,12,0,1266,HARRISON,Paul LePage,57.01754386
Oakfield,Chev,Silverado,38,615,0.061788618,21,164,133,10,0,328,OAKFIELD,Paul LePage,51.57232704
Molunkus Twp,Gmc,Sierra,8,77,0.103896104,1,16,21,0,0,38,MOLUNKUS TWP,Mike Michaud,55.26315789
Grand Lake Stream Plt,Toyo,Tacoma,15,167,0.089820359,9,57,29,1,0,96,GRAND LAKE STREAM PLT,Paul LePage,60
Sangerville,Ford,F150,59,1206,0.048922056,48,352,204,7,0,611,SANGERVILLE,Paul LePage,58.2781457
China,Chev,Silverado,180,4154,0.043331728,168,1133,766,18,0,2085,CHINA,Paul LePage,54.81373972
Bridgton,Ford,F150,137,4954,0.027654421,203,1315,861,12,0,2391,BRIDGTON,Paul LePage,55.27532577
Westbrook,Toyo,Corolla,435,15607,0.027872109,659,3174,3823,62,0,7718,WESTBROOK,Mike Michaud,49.93469175
Topsham,Toyo,Rav4,269,8410,0.031985731,451,2275,2281,51,0,5058,TOPSHAM,Mike Michaud,45.55622129
Waldoboro,Chev,Silverado,229,4568,0.050131349,167,1163,856,18,0,2204,WALDOBORO,Paul LePage,53.20219579
Lyman,Chev,Silverado,178,4543,0.039181158,140,1186,711,17,0,2054,LYMAN,Paul LePage,58.22287678
Dyer Brook,Chev,Silverado,14,204,0.068627451,13,66,39,2,0,120,DYER BROOK,Paul LePage,55.93220339
Whitneyville,Gmc,Sierra,11,148,0.074324324,2,53,36,1,0,92,WHITNEYVILLE,Paul LePage,58.24175824
Cooper,Gmc,Sierra,12,122,0.098360656,7,63,29,2,0,101,COOPER,Paul LePage,63.63636364
Frenchboro,Chev,Silverado,4,28,0.142857143,3,13,6,0,0,22,FRENCHBORO,Paul LePage,59.09090909
West Bath,Suba,Forester,67,1948,0.034394251,91,559,460,7,0,1117,WEST BATH,Paul LePage,50.36036036
Solon,Chev,Silverado,63,1037,0.06075217,39,277,211,4,0,531,SOLON,Paul LePage,52.56166983
Fairfield,Chev,Silverado,239,5355,0.044631186,200,1432,1147,23,0,2802,FAIRFIELD,Paul LePage,51.5293271
Sullivan,Chev,Silverado,74,1175,0.062978723,59,255,216,3,0,533,SULLIVAN,Paul LePage,48.11320755
West Forks Plt,Ford,F150,5,56,0.089285714,3,25,13,2,0,43,WEST FORKS PLT,Paul LePage,60.97560976
Farmington,Ford,F150,149,4945,0.030131446,274,1421,1449,33,4,3181,FARMINGTON,Mike Michaud,46.0292249
Wells,Ford,F150,288,11582,0.024866172,439,2481,2050,36,0,5006,WELLS,Paul LePage,49.9195171
Vinalhaven,Ford,F150,101,1509,0.066931743,49,228,332,9,0,618,VINALHAVEN,Mike Michaud,54.51559934
Monson,Gmc,Sierra,34,598,0.056856187,25,227,135,20,0,407,MONSON,Paul LePage,58.65633075
Searsmont,Chev,Silverado,64,1356,0.04719764,47,319,275,8,0,649,SEARSMONT,Paul LePage,49.76599064
Pleasant Ridge Plt,Chev,Silverado,11,85,0.129411765,4,25,14,1,0,44,PLEASANT RIDGE PLT,Paul LePage,58.13953488
Farmingdale,Toyo,Camry,67,2507,0.02672517,100,693,643,10,0,1446,FARMINGDALE,Paul LePage,48.25905292
Stacyville,Chev,Silverado,18,262,0.06870229,11,100,65,2,0,178,STACYVILLE,Paul LePage,56.81818182
Woodville,Chev,Silverado,15,199,0.075376884,3,65,41,0,0,109,WOODVILLE,Paul LePage,59.63302752
Etna,Gmc,Sierra,60,1074,0.055865922,27,345,159,2,0,533,ETNA,Paul LePage,64.97175141
Dedham,Chev,Silverado,72,1622,0.044389642,80,465,335,13,0,893,DEDHAM,Paul LePage,52.84090909
Oxbow Plt,Ford,Ranger,4,42,0.095238095,2,26,11,0,0,39,OXBOW PLT,Paul LePage,66.66666667
Mount Vernon,Suba,Forester,53,1499,0.035356905,63,460,372,2,0,897,MOUNT VERNON,Paul LePage,51.39664804
Hermon,Chev,Silverado,261,5892,0.044297352,150,1709,835,19,0,2713,HERMON,Paul LePage,63.437268
Greenfield Twp,Gmc,Sierra,14,245,0.057142857,6,80,27,2,0,115,GREENFIELD TWP,Paul LePage,70.79646018
Albany Twp,Chev,Silverado,20,455,0.043956044,23,111,105,5,0,244,ALBANY TWP,Paul LePage,46.44351464
Sedgwick,Gmc,Sierra,45,930,0.048387097,33,256,305,9,0,603,SEDGWICK,Mike Michaud,51.34680135
New Gloucester,Chev,Silverado,197,5257,0.037473844,248,1600,980,14,0,2842,NEW GLOUCESTER,Paul LePage,56.57708628
Vassalboro,Chev,Silverado,169,4023,0.042008451,132,1167,783,18,0,2100,VASSALBORO,Paul LePage,56.0518732
Windham,Chev,Silverado,558,15762,0.035401599,657,4178,2898,29,20,7782,WINDHAM,Paul LePage,53.88881723
Machias,Chev,Silverado,74,1328,0.055722892,66,340,319,17,0,742,MACHIAS,Paul LePage,46.89655172
Old Town,Gmc,Sierra,216,5441,0.039698585,252,1274,1616,27,0,3169,OLD TOWN,Mike Michaud,51.43220878
Liberty,Chev,Silverado,34,953,0.03567681,24,231,207,3,0,465,LIBERTY,Paul LePage,50
Gilead,Chev,Silverado,13,158,0.082278481,6,44,41,0,0,91,GILEAD,Paul LePage,48.35164835
Bowdoinham,Chev,Silverado,94,2911,0.032291309,125,752,716,9,0,1602,BOWDOINHAM,Paul LePage,47.20652856
Verona Island,Chev,Silverado,21,472,0.044491525,13,144,103,4,0,264,VERONA ISLAND,Paul LePage,55.38461538
Sabattus,Chev,Silverado,178,4693,0.03792883,130,1430,638,16,0,2214,SABATTUS,Paul LePage,65.05914468
Rumford,Chev,Silverado,172,4558,0.037735849,183,1226,928,28,0,2365,RUMFORD,Paul LePage,52.46041934
Richmond,Chev,Silverado,92,3010,0.030564784,150,839,629,10,3,1631,RICHMOND,Paul LePage,51.75817397
Lowell,Ford,F150,17,323,0.052631579,15,135,39,1,0,190,LOWELL,Paul LePage,71.42857143
The Forks Plt,Ford,F150,5,68,0.073529412,4,26,15,0,0,45,THE FORKS PLT,Paul LePage,57.77777778
Rockland,Chev,Silverado,157,5392,0.029117211,230,1019,1427,36,0,2712,ROCKLAND,Mike Michaud,53.32585949
Rome,Toyo,Tacoma,35,1025,0.034146341,49,260,224,4,0,537,ROME,Paul LePage,48.7804878
Wallagrass,Ford,F150,24,402,0.059701493,23,97,147,3,0,270,WALLAGRASS,Mike Michaud,55.05617978
