town,eliot_cutler,paul_lepage,mike_michaud,others,blank,total_votes_cast
AUBURN,816,4944,3823,0,75,9658
DURHAM,168,1229,715,0,26,2138
GREENE,117,1497,551,0,10,2175
LEEDS,86,658,321,0,9,1074
LEWISTON,1117,6846,5541,0,176,13680
LISBON,309,2480,1322,0,26,4137
LIVERMORE,89,627,392,0,4,1112
LIVERMORE FALLS,88,595,453,0,12,1148
MECHANIC FALLS,118,796,419,0,9,1342
MINOT,87,925,354,1,10,1377
POLAND,197,1615,890,0,17,2719
SABATTUS,130,1430,638,0,16,2214
TURNER,190,1820,784,0,18,2812
WALES,44,525,173,0,7,749
Androscoggin County Totals,3556,25987,16376,1,415,46335
ALLAGASH,5,72,74,0,5,156
AMITY,6,51,40,0,0,97
ASHLAND,73,230,203,0,10,516
BANCROFT,2,19,19,0,1,41
BLAINE,25,229,74,0,1,329
BRIDGEWATER,27,146,83,0,3,259
CARIBOU/CONNOR TWP,332,1532,1326,0,49,3239
CARY PLT,19,54,23,0,1,97
CASTLE HILL,27,108,62,0,4,201
CASWELL,14,51,60,1,1,127
CHAPMAN,21,111,77,1,2,212
CROSS LAKE TWP (T17 R5),8,49,41,0,0,98
CRYSTAL,10,80,38,0,0,128
CYR PLT,4,24,17,0,2,47
DYER BROOK,13,66,39,0,2,120
E TWP                                                                                                                                                 ,7,15,5,0,0,27
EAGLE LAKE,30,159,205,0,12,406
EASTON,63,300,185,0,9,557
FORT FAIRFIELD,144,641,579,0,23,1387
FORT KENT,126,678,938,0,29,1771
FRENCHVILLE,27,194,275,0,13,509
GARFIELD PLT,10,25,14,0,1,50
GLENWOOD PLT,0,3,2,0,0,5
GRAND ISLE,14,49,147,0,3,213
HAMLIN,7,43,31,0,3,84
HAMMOND,4,20,19,0,0,43
HAYNESVILLE,6,21,23,0,0,50
HERSEY,1,23,7,0,0,31
HODGDON,54,364,125,0,3,546
HOULTON,188,1011,861,3,33,2096
ISLAND FALLS,30,185,135,0,0,350
LIMESTONE,58,287,309,0,14,668
LINNEUS,47,189,99,0,12,347
LITTLETON,29,231,123,0,6,389
LUDLOW,28,96,60,0,2,186
MACWAHOC PLT,2,29,17,0,1,49
MADAWASKA,123,525,1162,0,30,1840
MADAWASKA LAKE TWP (T16 R4),5,57,39,0,0,101
MAPLETON,91,527,312,0,9,939
MARS HILL,61,409,166,0,11,647
MASARDIS,10,54,49,0,2,115
MERRILL,10,53,48,0,1,112
MOLUNKUS TWP                                                                                                                                          ,1,16,21,0,0,38
MONTICELLO,30,180,119,0,8,337
MORO PLT,2,17,5,0,0,24
NEW CANADA,10,47,58,0,3,118
NEW LIMERICK,21,166,83,0,2,272
NEW SWEDEN,40,138,144,0,4,326
OAKFIELD,21,164,133,0,10,328
ORIENT,5,39,16,0,1,61
OXBOW PLT,2,26,11,0,0,39
PERHAM,10,109,51,0,3,173
PORTAGE LAKE,28,118,96,0,3,245
PRESQUE ISLE,386,1579,1464,0,37,3466
REED PLT,4,46,25,0,1,76
SAINT AGATHA,39,194,284,0,10,527
SAINT FRANCIS,17,76,136,0,6,235
SAINT JOHN PLT,11,50,64,0,4,129
SHERMAN,30,345,173,0,6,554
SMYRNA,10,58,41,0,2,111
STOCKHOLM,20,55,61,0,2,138
T11 R4 WELS                                                                                                                                           ,3,10,5,0,1,19
T12 R13/T9 R8 WELS TWP                                                                                                                                ,0,0,2,0,0,2
T15 R6 WELS                                                                                                                                           ,0,5,0,0,0,5
T4 R3 TWP                                                                                                                                             ,0,0,1,0,0,1
TD R2 WELS                                                                                                                                            ,0,0,3,0,0,3
VAN BUREN,78,255,441,0,22,796
WADE,17,61,42,0,0,120
WALLAGRASS,23,97,147,0,3,270
WASHBURN,63,312,268,0,16,659
WESTFIELD,27,111,77,0,2,217
WESTMANLAND,4,21,14,0,0,39
WESTON,7,79,33,0,1,120
WINTERVILLE PLT,13,49,60,0,1,123
WOODLAND,44,292,209,1,6,552
Aroostook County Totals,2727,13725,12398,6,452,29308
BALDWIN,45,528,210,0,6,789
BRIDGTON,203,1315,861,0,12,2391
BRUNSWICK,755,3439,5896,0,79,10169
CAPE ELIZABETH,780,1793,2986,0,23,5582
CASCO,144,984,565,0,13,1706
CHEBEAGUE ISLAND,25,70,165,1,2,263
CUMBERLAND,530,1980,2051,0,32,4593
FALMOUTH,748,2880,3022,0,42,6692
FREEPORT,479,1720,2482,0,31,4712
FRYE ISLAND,4,31,12,0,0,47
GORHAM,622,3716,3212,0,75,7625
GRAY,360,2211,1415,0,32,4018
HARPSWELL,237,1338,1473,0,21,3069
HARRISON,121,715,418,0,12,1266
LONG ISLAND,29,63,79,0,0,171
NAPLES,133,1125,595,0,5,1858
NEW GLOUCESTER,248,1600,980,0,14,2842
NORTH YARMOUTH,189,981,996,0,10,2176
PORTLAND,2402,6724,20833,1,188,30148
POWNAL,70,459,419,0,4,952
RAYMOND,204,1240,898,0,8,2350
SCARBOROUGH,1033,4977,4398,0,79,10487
SEBAGO,77,536,308,0,1,922
SOUTH PORTLAND,1220,3916,7239,0,94,12469
STANDISH,317,2567,1505,0,28,4417
WESTBROOK,659,3174,3823,0,62,7718
WINDHAM,657,4178,2898,20,29,7782
YARMOUTH,545,1672,2478,0,25,4720
Cumberland County Totals,12836,55932,72217,22,927,141934
AVON,18,151,54,0,1,224
CARRABASSETT VALLEY,59,169,175,0,2,405
CARTHAGE,19,141,69,0,3,232
CHESTERVILLE,40,347,227,0,7,621
COPLIN PLT,7,51,27,0,0,85
DALLAS PLT,20,111,68,0,0,199
