city,make,model,vehicle_count,all_vehicles,vehicle_share,cty,terry_hayes,janet_mills,shawn_moody,others,blank,total_votes_cast,town,winner,winner_share
Paris,Chev,Silverado,185,4484,0.041257805530776092774308,OXF,329,761,948,0,64,2102,Paris,Shawn Moody,45.099904852521408182683100
Great Pond,Chev,Silverado,4,65,0.061538461538461538461538,HAN,0,13,23,0,1,37,Great Pond,Shawn Moody,62.162162162162162162162100
Merrill,Chev,Silverado,15,226,0.066371681415929203539823,ARO,4,30,57,0,2,93,Merrill,Shawn Moody,61.290322580645161290322500
Orono,Suba,Forester,131,4014,0.03263577478824115595416,PEN,248,2969,1029,0,158,4404,Orono,Janet Mills,67.415985467756584922797400
Upton,Gmc,Sierra,7,82,0.085365853658536585365853,OXF,0,10,35,0,2,47,Upton,Shawn Moody,74.468085106382978723404200
Stockton Springs,Chev,Silverado,50,1482,0.033738191632928475033738,WAL,48,450,396,0,15,909,Stockton Springs,Janet Mills,49.50495049504950495049500
Canaan,Chev,Silverado,127,1906,0.066631689401888772298006,SOM,52,305,471,0,23,851,Canaan,Shawn Moody,55.346650998824911868390100
Buxton,Chev,Silverado,301,7948,0.037871162556618017111222,YOR,172,1580,2334,0,50,4136,Buxton,Shawn Moody,56.431334622823984526112100
Mattawamkeag,Gmc,Sierra,41,625,0.0656,PEN,24,99,161,0,6,290,Mattawamkeag,Shawn Moody,55.517241379310344827586200
Bristol,Suba,Forester,127,2942,0.043167912984364377974167,LIN,81,902,708,0,25,1716,Bristol,Janet Mills,52.564102564102564102564100
Orrington,Chev,Silverado,166,3720,0.044623655913978494623655,PEN,113,826,1083,0,29,2051,Orrington,Shawn Moody,52.803510482691370063383700
Wayne,Chev,Silverado,50,1286,0.038880248833592534992223,KEN,39,386,290,0,15,730,Wayne,Janet Mills,52.876712328767123287671200
West Paris,Chev,Silverado,76,1540,0.04935064935064935064935,OXF,78,274,379,0,18,749,West Paris,Shawn Moody,50.600801068090787716955900
Levant,Chev,Silverado,128,2559,0.050019538882375928096912,PEN,61,358,754,0,30,1203,Levant,Shawn Moody,62.676641729010806317539400
Chebeague Island,Suba,Forester,46,938,0.049040511727078891257995,CUM,9,201,66,0,6,282,Chebeague Island,Janet Mills,71.276595744680851063829700
Millinocket,Chev,Silverado,234,3514,0.066590779738190096755833,PEN,135,840,853,0,47,1875,Millinocket,Shawn Moody,45.493333333333333333333300
