city,make,model,vehicle_count,all_vehicles,vehicle_share,cty,terry_hayes,janet_mills,shawn_moody,others,blank,total_votes_cast,town,winner,winner_share
West Forks Plt,Ford,F150,5,56,0.08928571428571429,SOM,3,20,20,0,1,44,West Forks Plt,Tie,0.0
Upton,GMC,Sierra,7,82,0.08536585365853659,OXF,0,10,35,0,2,47,Upton,Shawn Moody,77.77777777777777
Bridgewater,GMC,Sierra,26,452,0.05752212389380531,ARO,14,66,153,0,6,239,Bridgewater,Shawn Moody,65.66523605150215
Winter Harbor,Chevy,Silverado,29,512,0.056640625,HAN,11,117,151,0,4,283,Winter Harbor,Shawn Moody,54.121863799283155
Westport Island,Subaru,Legacy,30,845,0.03550295857988166,LIN,26,241,195,0,15,477,Westport Island,Janet Mills,52.16450216450217
Sherman,Chevy,Silverado,33,664,0.04969879518072289,ARO,41,121,321,0,9,492,Sherman,Shawn Moody,66.45962732919254
Eustis,Chevy,Silverado,35,686,0.05102040816326531,FRA,28,134,180,0,15,357,Eustis,Shawn Moody,52.63157894736842
Clifton,GMC,Sierra,36,817,0.044063647490820076,PEN,22,145,227,0,5,399,Clifton,Shawn Moody,57.61421319796954
Ogunquit,Toyota,Camry,39,1628,0.023955773955773956,YOR,35,539,272,0,13,859,Ogunquit,Janet Mills,63.71158392434988
Monroe,Chevy,Silverado,41,927,0.04422869471413161,WAL,20,279,213,1,9,522,Monroe,Janet Mills,54.3859649122807
Chester,Ford,F150,47,543,0.0865561694290976,PEN,8,57,161,0,10,236,Chester,Shawn Moody,71.23893805309734
Morrill,Chevy,Silverado,49,855,0.05730994152046784,WAL,29,208,259,0,10,506,Morrill,Shawn Moody,52.21774193548387
Mount Vernon,Subaru,Forester,53,1499,0.035356904603068715,KEN,61,437,418,0,14,930,Mount Vernon,Janet Mills,47.70742358078603
Embden,Chevy,Silverado,57,915,0.06229508196721312,SOM,28,174,235,0,7,444,Embden,Shawn Moody,53.775743707093824
Brownville,Chevy,Silverado,64,1093,0.0585544373284538,PIS,32,200,229,0,20,481,Brownville,Shawn Moody,49.67462039045553
Porter,Chevy,Silverado,69,1441,0.047883414295628035,OXF,46,228,383,0,13,670,Porter,Shawn Moody,58.29528158295282
Lubec,Chevy,Silverado,77,1118,0.06887298747763863,WAS,38,410,243,0,19,710,Lubec,Janet Mills,59.3342981186686
Albion,Chevy,Silverado,81,1759,0.04604889141557703,KEN,68,297,569,0,18,952,Albion,Shawn Moody,60.92077087794433
Searsport,Chevy,Silverado,84,2421,0.03469640644361834,WAL,70,626,532,0,38,1266,Searsport,Janet Mills,50.9771986970684
Hudson,GMC,Sierra,85,1318,0.06449165402124431,PEN,28,174,398,0,8,608,Hudson,Shawn Moody,66.33333333333333
Clinton,Chevy,Silverado,151,2903,0.052015156734412676,KEN,84,525,715,1,25,1350,Clinton,Shawn Moody,53.9622641509434
