town,shenna_bellows,susan_collins,others,,,blank,total_votes_cast
AUBURN,2895,6596,3,3,0,164,9658
DURHAM,504,1587,0,0,0,47,2138
GREENE,464,1669,0,0,0,42,2175
LEEDS,263,789,0,0,0,22,1074
LEWISTON,4301,9000,0,0,0,379,13680
LISBON,954,3094,3,3,0,86,4137
LIVERMORE,304,797,2,2,0,9,1112
LIVERMORE FALLS,371,753,0,0,0,24,1148
MECHANIC FALLS,347,967,1,1,0,27,1342
MINOT,279,1070,2,1,1,26,1377
POLAND,677,1985,1,1,0,56,2719
SABATTUS,534,1643,0,0,0,37,2214
TURNER,648,2107,3,3,0,54,2812
WALES,139,592,0,0,0,18,749
Androscoggin County Totals,12680,32649,15,14,1,991,46335
ALLAGASH,51,99,0,0,0,6,156
AMITY,23,69,2,2,0,3,97
ASHLAND,83,420,0,0,0,13,516
BANCROFT,10,29,0,0,0,2,41
BLAINE,48,264,0,0,0,17,329
BRIDGEWATER,41,212,0,0,0,6,259
CARIBOU/CONNOR TWP,630,2515,0,0,0,94,3239
CARY PLT,13,81,0,0,0,3,97
CASTLE HILL,34,164,0,0,0,3,201
CASWELL,27,98,1,0,1,1,127
CHAPMAN,40,169,0,0,0,3,212
CROSS LAKE TWP (T17 R5),22,75,0,0,0,1,98
CRYSTAL,15,108,0,0,0,5,128
CYR PLT,8,38,0,0,0,1,47
DYER BROOK,17,100,0,0,0,3,120
E TWP                                                                                                                                                 ,4,22,0,0,0,1,27
EAGLE LAKE,115,275,0,0,0,16,406
EASTON,97,441,0,0,0,19,557
FORT FAIRFIELD,314,1033,0,0,0,40,1387
FORT KENT,394,1318,0,0,0,59,1771
FRENCHVILLE,152,341,0,0,0,16,509
GARFIELD PLT,7,43,0,0,0,0,50
GLENWOOD PLT,0,5,0,0,0,0,5
GRAND ISLE,81,125,0,0,0,7,213
HAMLIN,9,72,0,0,0,3,84
HAMMOND,9,33,0,0,0,1,43
HAYNESVILLE,10,39,0,0,0,1,50
HERSEY,2,29,0,0,0,0,31
HODGDON,73,452,1,1,0,20,546
HOULTON,377,1656,7,7,0,56,2096
ISLAND FALLS,79,263,0,0,0,8,350
LIMESTONE,170,478,0,0,0,20,668
LINNEUS,57,274,1,0,1,15,347
LITTLETON,59,318,0,0,0,12,389
LUDLOW,32,149,0,0,0,5,186
MACWAHOC PLT,9,37,0,0,0,3,49
MADAWASKA,608,1170,0,0,0,62,1840
MADAWASKA LAKE TWP (T16 R4),14,86,0,0,0,1,101
MAPLETON,158,761,0,0,0,20,939
MARS HILL,99,530,0,0,0,18,647
MASARDIS,7,95,0,0,0,13,115
MERRILL,26,84,0,0,0,2,112
MOLUNKUS TWP                                                                                                                                          ,10,28,0,0,0,0,38
MONTICELLO,64,263,0,0,0,10,337
MORO PLT,2,22,0,0,0,0,24
NEW CANADA,31,83,0,0,0,4,118
NEW LIMERICK,49,217,0,0,0,6,272
NEW SWEDEN,79,245,0,0,0,2,326
OAKFIELD,57,250,2,2,0,19,328
ORIENT,15,44,0,0,0,2,61
OXBOW PLT,3,36,0,0,0,0,39
PERHAM,29,132,0,0,0,12,173
PORTAGE LAKE,32,207,0,0,0,6,245
PRESQUE ISLE,784,2604,1,1,0,77,3466
REED PLT,16,58,0,0,0,2,76
SAINT AGATHA,146,361,0,0,0,20,527
SAINT FRANCIS,66,157,1,1,0,11,235
SAINT JOHN PLT,27,98,0,0,0,4,129
SHERMAN,75,459,0,0,0,20,554
SMYRNA,20,87,0,0,0,4,111
STOCKHOLM,17,116,0,0,0,5,138
T11 R4 WELS                                                                                                                                           ,4,15,0,0,0,0,19
T12 R13/T9 R8 WELS TWP                                                                                                                                ,2,0,0,0,0,0,2
T15 R6 WELS                                                                                                                                           ,1,4,0,0,0,0,5
T4 R3 TWP                                                                                                                                             ,1,0,0,0,0,0,1
TD R2 WELS                                                                                                                                            ,3,0,0,0,0,0,3
VAN BUREN,246,518,0,0,0,32,796
WADE,17,96,0,0,0,7,120
WALLAGRASS,70,191,0,0,0,9,270
WASHBURN,134,501,0,0,0,24,659
WESTFIELD,51,159,0,0,0,7,217
WESTMANLAND,5,32,0,0,0,2,39
WESTON,18,99,0,0,0,3,120
WINTERVILLE PLT,25,90,0,0,0,8,123
WOODLAND,94,440,4,4,0,14,552
Aroostook County Totals,6217,22182,20,18,2,889,29308
BALDWIN,177,589,0,0,0,23,789
BRIDGTON,693,1657,1,1,0,40,2391
BRUNSWICK,4303,5710,4,2,2,152,10169
CAPE ELIZABETH,2194,3307,0,0,0,81,5582
CASCO,456,1217,0,0,0,33,1706
CHEBEAGUE ISLAND,129,132,0,0,0,2,263
CUMBERLAND,1325,3201,0,0,0,67,4593
FALMOUTH,2146,4462,0,0,0,84,6692
FREEPORT,1831,2797,1,1,0,83,4712
FRYE ISLAND,10,36,0,0,0,1,47
GORHAM,2114,5367,1,1,0,143,7625
GRAY,961,2960,4,4,0,93,4018
HARPSWELL,1062,1957,0,0,0,50,3069
HARRISON,341,907,2,2,0,16,1266
LONG ISLAND,58,112,0,0,0,1,171
NAPLES,483,1340,0,0,0,35,1858
NEW GLOUCESTER,722,2076,2,1,1,42,2842
NORTH YARMOUTH,655,1496,0,0,0,25,2176
PORTLAND,16305,13273,6,3,3,564,30148
POWNAL,297,639,0,0,0,16,952
RAYMOND,672,1650,0,0,0,28,2350
SCARBOROUGH,2950,7365,4,4,0,168,10487
SEBAGO,249,655,0,0,0,18,922
SOUTH PORTLAND,5404,6835,2,2,0,228,12469
STANDISH,1094,3242,2,1,1,79,4417
WESTBROOK,2657,4922,5,5,0,134,7718
