id,county,population
0500000US23001,"Androscoggin County, Maine",107602
0500000US23003,"Aroostook County, Maine",67809
0500000US23005,"Cumberland County, Maine",292307
0500000US23007,"Franklin County, Maine",29982
0500000US23009,"Hancock County, Maine",54601
0500000US23011,"Kennebec County, Maine",121753
0500000US23013,"Knox County, Maine",39759
0500000US23015,"Lincoln County, Maine",34201
0500000US23017,"Oxford County, Maine",57550
0500000US23019,"Penobscot County, Maine",151774
0500000US23021,"Piscataquis County, Maine",16836
0500000US23023,"Sagadahoc County, Maine",35452
0500000US23025,"Somerset County, Maine",50520
0500000US23027,"Waldo County, Maine",39539
0500000US23029,"Washington County, Maine",31491
0500000US23031,"York County, Maine",204316
0400000US23,Maine,1335492
