Zip_Code,Zip_Population,Case_Count,Patient_City,Patient_County,Data_Snapshot_Date
04210,23456,183,Auburn,Androscoggin,2020-11-08
04222,3880,12,Durham,Androscoggin,2020-11-08
04236,4518,27,Greene,Androscoggin,2020-11-08
04240,37093,545,Lewiston,Androscoggin,2020-11-08
04250,4223,25,Lisbon,Androscoggin,2020-11-08
04252,4874,23,Lisbon Falls,Androscoggin,2020-11-08
04253,2199,7,Livermore,Androscoggin,2020-11-08
04254,3265,15,Livermore Falls,Androscoggin,2020-11-08
04256,3047,cc1-5,Mechanic Falls,Androscoggin,2020-11-08
04258,2720,11,Minot,Androscoggin,2020-11-08
04263,2474,cc1-5,Leeds,Androscoggin,2020-11-08
04274,5702,32,Poland,Androscoggin,2020-11-08
04280,6941,34,Sabattus,Androscoggin,2020-11-08
04282,5942,65,Turner,Androscoggin,2020-11-08
04471,661,No Detected Cases,Orient,Aroostook,2020-11-08
04497,380,No Detected Cases,Wytopitlock,Aroostook,2020-11-08
04730,10103,10,Houlton,Aroostook,2020-11-08
04732,1603,cc1-5,Ashland,Aroostook,2020-11-08
04733,201,No Detected Cases,Benedicta,Aroostook,2020-11-08
04734,684,No Detected Cases,Blaine,Aroostook,2020-11-08
04735,637,cc1-5,Bridgewater,Aroostook,2020-11-08
04736,9165,14,Caribou,Aroostook,2020-11-08
04739,1174,cc1-5,Eagle Lake,Aroostook,2020-11-08
04740,1305,No Detected Cases,Easton,Aroostook,2020-11-08
04742,3335,cc1-5,Fort Fairfield,Aroostook,2020-11-08
04743,4614,7,Fort Kent,Aroostook,2020-11-08
04745,1132,No Detected Cases,Frenchville,Aroostook,2020-11-08
04746,477,cc1-5,Grand Isle,Aroostook,2020-11-08
04747,1293,cc1-5,Island Falls,Aroostook,2020-11-08
04750,2434,cc1-5,Limestone,Aroostook,2020-11-08
04756,3192,6,Madawaska,Aroostook,2020-11-08
04757,2849,cc1-5,Mapleton,Aroostook,2020-11-08
04758,1456,cc1-5,Mars Hill,Aroostook,2020-11-08
04760,802,No Detected Cases,Monticello,Aroostook,2020-11-08
04761,509,cc6-19,New Limerick,Aroostook,2020-11-08
04762,598,cc1-5,New Sweden,Aroostook,2020-11-08
04763,710,cc1-5,Oakfield,Aroostook,2020-11-08
04764,63,No Detected Cases,Oxbow,Aroostook,2020-11-08
04766,441,No Detected Cases,Perham,Aroostook,2020-11-08
04768,398,No Detected Cases,Portage,Aroostook,2020-11-08
04769,9253,cc1-5,Presque Isle,Aroostook,2020-11-08
04772,758,No Detected Cases,Saint Agatha,Aroostook,2020-11-08
04773,649,No Detected Cases,Saint David,Aroostook,2020-11-08
04774,756,cc1-5,Saint Francis,Aroostook,2020-11-08
04776,949,cc1-5,Sherman,Aroostook,2020-11-08
04779,370,cc1-5,Sinclair,Aroostook,2020-11-08
04780,808,No Detected Cases,Smyrna Mills,Aroostook,2020-11-08
04781,573,No Detected Cases,Wallagrass,Aroostook,2020-11-08
04783,501,No Detected Cases,Stockholm,Aroostook,2020-11-08
04785,2330,cc1-5,Van Buren,Aroostook,2020-11-08
04786,2059,cc1-5,Washburn,Aroostook,2020-11-08
04787,620,No Detected Cases,Westfield,Aroostook,2020-11-08
04003,305,No Detected Cases,Bailey Island,Cumberland,2020-11-08
04009,5547,cc1-5,Bridgton,Cumberland,2020-11-08
04011,21275,78,Brunswick,Cumberland,2020-11-08
04015,4036,10,Casco,Cumberland,2020-11-08
04017,354,cc1-5,Chebeague Island,Cumberland,2020-11-08
04019,76,No Detected Cases,Cliff Island,Cumberland,2020-11-08
04021,6595,49,Cumberland Center,Cumberland,2020-11-08
04024,681,cc1-5,East Baldwin,Cumberland,2020-11-08
04029,1978,cc6-19,Sebago,Cumberland,2020-11-08
04032,8620,40,Freeport,Cumberland,2020-11-08
04038,17859,121,Gorham,Cumberland,2020-11-08
04039,8123,37,Gray,Cumberland,2020-11-08
04040,3321,11,Harrison,Cumberland,2020-11-08
04050,250,cc1-5,Long Island,Cumberland,2020-11-08
04055,4093,10,Naples,Cumberland,2020-11-08
04062,18327,202,Windham,Cumberland,2020-11-08
04066,616,cc1-5,Orrs Island,Cumberland,2020-11-08
04069,1566,cc1-5,Pownal,Cumberland,2020-11-08
04071,5263,22,Raymond,Cumberland,2020-11-08
04074,20326,196,Scarborough,Cumberland,2020-11-08
04078,133,cc1-5,South Freeport,Cumberland,2020-11-08
04079,4048,9,Harpswell,Cumberland,2020-11-08
04084,8450,45,Standish,Cumberland,2020-11-08
04085,2012,cc6-19,Steep Falls,Cumberland,2020-11-08
04091,1070,cc1-5,West Baldwin,Cumberland,2020-11-08
04092,19778,329,Westbrook,Cumberland,2020-11-08
04096,8694,33,Yarmouth,Cumberland,2020-11-08
04097,3975,23,North Yarmouth,Cumberland,2020-11-08
04101,18739,353,Portland,Cumberland,2020-11-08
04102,18695,271,Portland,Cumberland,2020-11-08
04103,31953,450,Portland,Cumberland,2020-11-08
04105,12485,200,Falmouth,Cumberland,2020-11-08
04106,26250,280,South Portland,Cumberland,2020-11-08
04107,9569,111,Cape Elizabeth,Cumberland,2020-11-08
04108,951,cc1-5,Peaks Island,Cumberland,2020-11-08
04109,97,No Detected Cases,Portland,Cumberland,2020-11-08
04110,1569,cc6-19,Cumberland Foreside,Cumberland,2020-11-08
04260,5974,15,New Gloucester,Cumberland,2020-11-08
04239,4581,21,Jay,Franklin,2020-11-08
04285,435,cc1-5,Weld,Franklin,2020-11-08
04294,4245,9,Wilton,Franklin,2020-11-08
04936,404,No Detected Cases,Eustis,Franklin,2020-11-08
04938,9832,49,Farmington,Franklin,2020-11-08
04947,1762,cc6-19,Kingfield,Franklin,2020-11-08
04955,1475,cc1-5,New Sharon,Franklin,2020-11-08
04956,694,cc1-5,New Vineyard,Franklin,2020-11-08
04966,1753,cc6-19,Phillips,Franklin,2020-11-08
04970,1716,cc6-19,Rangeley,Franklin,2020-11-08
04982,320,cc1-5,Stratton,Franklin,2020-11-08
04983,1695,cc6-19,Strong,Franklin,2020-11-08
04984,519,cc1-5,Temple,Franklin,2020-11-08
04408,230,No Detected Cases,Aurora,Hancock,2020-11-08
04416,5414,6,Bucksport,Hancock,2020-11-08
04421,1177,cc1-5,Castine,Hancock,2020-11-08
04472,2330,cc1-5,Orland,Hancock,2020-11-08
04476,1223,cc1-5,Penobscot,Hancock,2020-11-08
04605,13627,24,Ellsworth,Hancock,2020-11-08
04607,1249,cc1-5,Gouldsboro,Hancock,2020-11-08
04609,5321,cc1-5,Bar Harbor,Hancock,2020-11-08
04612,732,No Detected Cases,Bernard,Hancock,2020-11-08
04613,182,No Detected Cases,Birch Harbor,Hancock,2020-11-08
04614,2791,7,Blue Hill,Hancock,2020-11-08
04616,849,cc1-5,Brooklin,Hancock,2020-11-08
04617,762,cc1-5,Brooksville,Hancock,2020-11-08
04624,192,No Detected Cases,Corea,Hancock,2020-11-08
04625,136,cc1-5,Cranberry Isles,Hancock,2020-11-08
04627,1731,cc1-5,Deer Isle,Hancock,2020-11-08
04634,1932,cc1-5,Franklin,Hancock,2020-11-08
04635,59,No Detected Cases,Frenchboro,Hancock,2020-11-08
04640,2482,15,Hancock,Hancock,2020-11-08
