Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US23001,23001,"Androscoggin County, Maine",107702,107710,107707,107426,107481,107275,107415,107155,107404,107569,107679
0500000US23003,23003,"Aroostook County, Maine",71870,71873,71701,71384,70767,70094,69553,68855,68233,67595,67111
0500000US23005,23005,"Cumberland County, Maine",281674,281676,281458,282663,283624,285570,288137,289544,291138,292344,293557
0500000US23007,23007,"Franklin County, Maine",30768,30767,30720,30738,30649,30520,30243,30057,30046,29852,29897
0500000US23009,23009,"Hancock County, Maine",54418,54408,54348,54519,54477,54574,54502,54245,54550,54597,54811
0500000US23011,23011,"Kennebec County, Maine",122151,122154,122076,121776,121583,121140,121236,121005,121470,121929,122083
0500000US23013,23013,"Knox County, Maine",39736,39736,39731,39669,39610,39691,39894,39794,39788,39869,39771
0500000US23015,23015,"Lincoln County, Maine",34457,34450,34389,34270,34156,34090,34048,33784,33973,34190,34342
0500000US23017,23017,"Oxford County, Maine",57833,57830,57779,57756,57469,57344,57271,57110,57198,57430,57618
0500000US23019,23019,"Penobscot County, Maine",153923,153932,153860,153749,153347,153235,153224,151949,151282,151190,151096
0500000US23021,23021,"Piscataquis County, Maine",17535,17535,17550,17360,17263,17171,17033,16924,16876,16801,16800
0500000US23023,23023,"Sagadahoc County, Maine",35293,35288,35230,35118,35115,35021,35075,35115,35140,35423,35634
0500000US23025,23025,"Somerset County, Maine",52228,52226,52219,51927,51806,51701,51241,50733,50564,50421,50592
0500000US23027,23027,"Waldo County, Maine",38786,38789,38820,38855,38927,39027,39036,39126,39436,39800,39694
0500000US23029,23029,"Washington County, Maine",32856,32855,32828,32717,32545,32304,32012,31821,31609,31540,31490
0500000US23031,23031,"York County, Maine",197131,197140,197216,198223,198872,199439,200840,201267,202663,204513,206229
