"","ZIP","TOTAL_POP","TOTAL_ADULTS"
"1","ZCTA5 03579",307,273
"2","ZCTA5 03901",7683,5892
"3","ZCTA5 03902",2419,1962
"4","ZCTA5 03903",6589,5255
"5","ZCTA5 03904",7996,6723
"6","ZCTA5 03905",1735,1667
"7","ZCTA5 03906",4713,3862
"8","ZCTA5 03907",1062,961
"9","ZCTA5 03908",7470,5502
"10","ZCTA5 03909",10240,8287
"11","ZCTA5 03910",320,320
"12","ZCTA5 03911",59,59
"13","ZCTA5 04001",2580,2220
"14","ZCTA5 04002",7558,6251
"15","ZCTA5 04003",329,300
"16","ZCTA5 04005",23486,19484
"17","ZCTA5 04006",162,162
"18","ZCTA5 04008",2795,2249
"19","ZCTA5 04009",5304,4778
"20","ZCTA5 04010",1401,1111
"21","ZCTA5 04011",20517,17105
"22","ZCTA5 04015",3895,3173
"23","ZCTA5 04017",449,395
"24","ZCTA5 04019",23,23
"25","ZCTA5 04020",1369,1113
"26","ZCTA5 04021",6422,4750
"27","ZCTA5 04022",1282,1014
"28","ZCTA5 04024",639,509
"29","ZCTA5 04027",6270,4883
"30","ZCTA5 04029",1600,1332
"31","ZCTA5 04030",2163,1758
"32","ZCTA5 04032",8439,6635
"33","ZCTA5 04037",3869,3013
"34","ZCTA5 04038",17582,13590
"35","ZCTA5 04039",7625,6143
"36","ZCTA5 04040",3234,2749
"37","ZCTA5 04041",1734,1400
"38","ZCTA5 04042",4607,3926
"39","ZCTA5 04043",11424,9537
"40","ZCTA5 04046",7873,6311
"41","ZCTA5 04047",1920,1596
"42","ZCTA5 04048",3030,2362
"43","ZCTA5 04049",3744,2893
"44","ZCTA5 04050",314,247
"45","ZCTA5 04051",1013,889
"46","ZCTA5 04055",3901,3089
"47","ZCTA5 04056",355,258
"48","ZCTA5 04057",78,78
"49","ZCTA5 04061",3498,2602
"50","ZCTA5 04062",18478,14841
"51","ZCTA5 04063",468,468
"52","ZCTA5 04064",8394,7672
"53","ZCTA5 04066",616,604
"54","ZCTA5 04068",1440,1261
"55","ZCTA5 04069",1635,1347
"56","ZCTA5 04071",5096,4217
"57","ZCTA5 04072",19497,15549
"58","ZCTA5 04073",16452,12721
"59","ZCTA5 04074",19885,15634
"60","ZCTA5 04076",2739,2157
"61","ZCTA5 04079",3953,3303
"62","ZCTA5 04083",4605,3612
"63","ZCTA5 04084",7403,6159
"64","ZCTA5 04085",2675,1925
"65","ZCTA5 04086",8810,7327
"66","ZCTA5 04087",2185,1593
"67","ZCTA5 04088",1454,1246
"68","ZCTA5 04090",10366,8595
"69","ZCTA5 04091",867,736
"70","ZCTA5 04092",18633,15315
"71","ZCTA5 04093",8243,6457
"72","ZCTA5 04095",1042,879
"73","ZCTA5 04096",8529,6623
"74","ZCTA5 04097",3779,2858
"75","ZCTA5 04101",17236,15416
"76","ZCTA5 04102",17612,14724
"77","ZCTA5 04103",30787,25156
"78","ZCTA5 04105",11876,8939
"79","ZCTA5 04106",25906,21288
"80","ZCTA5 04107",9178,7157
"81","ZCTA5 04108",867,798
"82","ZCTA5 04109",70,70
"83","ZCTA5 04110",1576,1175
"84","ZCTA5 04210",23187,18249
"85","ZCTA5 04216",475,413
"86","ZCTA5 04217",3321,2801
"87","ZCTA5 04219",1416,1159
"88","ZCTA5 04220",3309,2779
"89","ZCTA5 04221",884,727
"90","ZCTA5 04222",3944,2977
"91","ZCTA5 04224",2380,1949
"92","ZCTA5 04226",182,156
"93","ZCTA5 04227",112,92
"94","ZCTA5 04228",0,0
"95","ZCTA5 04231",272,228
"96","ZCTA5 04234",40,40
"97","ZCTA5 04236",4342,3256
"98","ZCTA5 04237",174,168
"99","ZCTA5 04238",1784,1288
"100","ZCTA5 04239",4638,3596
"101","ZCTA5 04240",36095,29156
"102","ZCTA5 04250",4148,3176
"103","ZCTA5 04252",4758,3587
"104","ZCTA5 04253",2066,1588
"105","ZCTA5 04254",3156,2367
"106","ZCTA5 04255",536,461
"107","ZCTA5 04256",2980,2183
"108","ZCTA5 04257",2628,2267
"109","ZCTA5 04258",2587,1875
"110","ZCTA5 04259",3288,2618
"111","ZCTA5 04260",5738,4400
"112","ZCTA5 04261",343,283
"113","ZCTA5 04263",2215,1650
"114","ZCTA5 04265",958,841
"115","ZCTA5 04267",64,58
"116","ZCTA5 04268",4965,3698
