Town,County,Observed|2006,Observed|2011,Observed|2016,Projected|2021,Projected|2026,Projected|2031,Projected|2036,Projected|2006-2011,Projected|2011-2016,Projected|2016-2021,Projected|2021-2026,Projected|2026-2031,Projected|2031-2036,Percent change|2016-2036
Auburn, Androscoggin,"23,482","22,966","22,969","23,105","23,248","23,301","23,286",-2.20%,0.00%,0.60%,0.60%,0.20%,-0.10%,1.40%
Durham, Androscoggin,"3,743","3,861","3,924","4,020","4,114","4,193","4,259",3.20%,1.60%,2.40%,2.30%,1.90%,1.60%,8.50%
Greene, Androscoggin,"4,323","4,344","4,363","4,405","4,451","4,480","4,496",0.50%,0.40%,1.00%,1.00%,0.70%,0.40%,3.00%
Leeds, Androscoggin,"2,241","2,323","2,296","2,293","2,287","2,271","2,249",3.70%,-1.20%,-0.10%,-0.30%,-0.70%,-1.00%,-2.00%
Lewiston, Androscoggin,"36,747","36,466","36,136","36,088","36,016","35,802","35,484",-0.80%,-0.90%,-0.10%,-0.20%,-0.60%,-0.90%,-1.80%
Lisbon, Androscoggin,"9,185","8,948","8,858","8,819","8,778","8,702","8,601",-2.60%,-1.00%,-0.40%,-0.50%,-0.90%,-1.20%,-2.90%
Livermore, Androscoggin,"2,137","2,090","2,103","2,130","2,157","2,176","2,189",-2.20%,0.60%,1.30%,1.30%,0.90%,0.60%,4.10%
Livermore Falls, Androscoggin,"3,254","3,167","3,127","3,109","3,089","3,057","3,016",-2.70%,-1.30%,-0.60%,-0.60%,-1.00%,-1.30%,-3.50%
Mechanic Falls, Androscoggin,"3,127","3,019","2,984","2,978","2,968","2,946","2,915",-3.50%,-1.20%,-0.20%,-0.30%,-0.70%,-1.10%,-2.30%
Minot, Androscoggin,"2,517","2,607","2,586","2,579","2,575","2,560","2,538",3.60%,-0.80%,-0.30%,-0.20%,-0.60%,-0.90%,-1.90%
Poland, Androscoggin,"5,273","5,385","5,533","5,746","5,942","6,116","6,272",2.10%,2.70%,3.80%,3.40%,2.90%,2.60%,13.40%
Sabattus, Androscoggin,"4,823","4,901","5,011","5,202","5,358","5,494","5,614",1.60%,2.20%,3.80%,3.00%,2.50%,2.20%,12.00%
Turner, Androscoggin,"5,544","5,711","5,752","5,831","5,905","5,956","5,990",3.00%,0.70%,1.40%,1.30%,0.90%,0.60%,4.10%
Wales, Androscoggin,"1,536","1,607","1,627","1,661","1,691","1,715","1,733",4.60%,1.20%,2.10%,1.80%,1.40%,1.00%,6.50%
Allagash, Aroostook,254,236,222,218,214,209,204,-7.10%,-5.90%,-1.80%,-1.80%,-2.30%,-2.40%,-8.10%
Amity, Aroostook,224,236,222,217,213,209,204,5.40%,-5.90%,-2.30%,-1.80%,-1.90%,-2.40%,-8.10%
Ashland, Aroostook,"1,380","1,287","1,230","1,219","1,211","1,200","1,187",-6.70%,-4.40%,-0.90%,-0.70%,-0.90%,-1.10%,-3.50%
Bancroft, Aroostook,66,67,64,63,62,61,60,1.50%,-4.50%,-1.60%,-1.60%,-1.60%,-1.60%,-6.30%
Blaine, Aroostook,758,723,686,682,676,669,660,-4.60%,-5.10%,-0.60%,-0.90%,-1.00%,-1.30%,-3.80%
Bridgewater, Aroostook,613,604,574,567,561,554,546,-1.50%,-5.00%,-1.20%,-1.10%,-1.20%,-1.40%,-4.90%
