,county_comm,congress_dist,county,municipality,state_rep,state_sen,ward_precinct,year,party,voters
0,5.0,2,AND,AUBURN,62,20,1-1,2018,alliance,0.0
1,5.0,2,AND,AUBURN,64,20,1-1,2018,alliance,0.0
2,6.0,2,AND,AUBURN,64,20,1-1,2018,alliance,0.0
3,5.0,2,AND,AUBURN,62,20,2-1,2018,alliance,0.0
4,5.0,2,AND,AUBURN,64,20,2-1,2018,alliance,0.0
5,6.0,2,AND,AUBURN,64,20,2-1,2018,alliance,0.0
6,5.0,2,AND,AUBURN,62,20,3-1,2018,alliance,0.0
7,5.0,2,AND,AUBURN,63,20,3-1,2018,alliance,0.0
8,6.0,2,AND,AUBURN,63,20,3-1,2018,alliance,0.0
9,6.0,2,AND,AUBURN,64,20,3-1,2018,alliance,0.0
10,5.0,2,AND,AUBURN,62,20,4-1,2018,alliance,0.0
11,5.0,2,AND,AUBURN,63,20,4-1,2018,alliance,0.0
12,6.0,2,AND,AUBURN,63,20,4-1,2018,alliance,0.0
13,5.0,2,AND,AUBURN,62,20,5-1,2018,alliance,0.0
14,5.0,2,AND,AUBURN,63,20,5-1,2018,alliance,0.0
15,6.0,2,AND,AUBURN,63,20,5-1,2018,alliance,0.0
16,3.0,2,AND,DURHAM,46,22,1-1,2018,alliance,0.0
17,3.0,2,AND,GREENE,57,22,1-1,2018,alliance,0.0
18,7.0,2,AND,LEEDS,75,22,1-1,2018,alliance,0.0
19,2.0,2,AND,LEWISTON,59,21,1-1,2018,alliance,0.0
20,2.0,2,AND,LEWISTON,60,21,1-1,2018,alliance,0.0
21,2.0,2,AND,LEWISTON,59,21,2-1,2018,alliance,0.0
22,2.0,2,AND,LEWISTON,59,21,3-1,2018,alliance,0.0
23,1.0,2,AND,LEWISTON,60,21,3-1,2018,alliance,0.0
24,1.0,2,AND,LEWISTON,58,21,4-1,2018,alliance,0.0
25,2.0,2,AND,LEWISTON,58,21,4-1,2018,alliance,0.0
26,3.0,2,AND,LEWISTON,58,21,4-1,2018,alliance,0.0
27,2.0,2,AND,LEWISTON,59,21,4-1,2018,alliance,0.0
28,2.0,2,AND,LEWISTON,60,21,5-1,2018,alliance,0.0
29,1.0,2,AND,LEWISTON,61,21,5-1,2018,alliance,0.0
30,3.0,2,AND,LEWISTON,58,21,6-1,2018,alliance,0.0
31,1.0,2,AND,LEWISTON,61,21,6-1,2018,alliance,0.0
