0,"EARMARKED FOR WARREN FOR PRESIDENT, INC. (C00693234)"
1,CONTRIBUTION TO ACTBLUE
2,EARMARKED FOR SLOTKIN FOR CONGRESS (C00650150)
3,EARMARKED FOR END CITIZENS UNITED PAC (C00573261)
4,EARMARKED FOR DSCC (C00042366)
5,EARMARKED FOR PROGRESSIVE TURNOUT PROJECT (C00580068)
6,EARMARKED FOR LAMB FOR CONGRESS (C00657411)
7,EARMARKED FOR CATHERINE CORTEZ MASTO FOR SENATE (C00575548)
8,EARMARKED FOR PROGRESSIVE TURNOUT PROJECT (C00580068)
9,EARMARKED FOR COLIN ALLRED FOR CONGRESS (C00637868)
10,EARMARKED FOR SUSIE LEE FOR NEVADA (C00578476)
11,EARMARKED FOR END CITIZENS UNITED PAC (C00573261)
12,EARMARKED FOR NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC (C00603084)
13,CONTRIBUTION TO ACTBLUE
14,EARMARKED FOR GIFFORDS PAC - IE (C00540443)
15,"EARMARKED FOR WARREN FOR PRESIDENT, INC. (C00693234)"
16,EARMARKED FOR FRIENDS OF BERNIE SANDERS (C00411330)
17,CONTRIBUTION TO ACTBLUE
18,EARMARKED FOR NEED TO IMPEACH (C00658526)
19,EARMARKED FOR PROGRESSIVE TURNOUT PROJECT (C00580068)
20,EARMARKED FOR END CITIZENS UNITED PAC (C00573261)
21,EARMARKED FOR DCCC (C00000935)
22,CONTRIBUTION TO ACTBLUE
23,CONTRIBUTION TO ACTBLUE
24,EARMARKED FOR PROGRESSIVE TURNOUT PROJECT (C00580068)
25,EARMARKED FOR DSCC (C00042366)
26,EARMARKED FOR TOGETHER WE THRIVE (C00522458)
27,EARMARKED FOR NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC (C00603084)
28,EARMARKED FOR COLOROFCHANGE PAC (C00428557)
29,EARMARKED FOR DCCC (C00000935)
30,EARMARKED FOR HOUSE MAJORITY PAC (C00495028)
31,EARMARKED FOR DCCC (C00000935)
32,"EARMARKED FOR WARREN FOR PRESIDENT, INC. (C00693234)"
