,affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,state,treasurer_name,active_through,candidate_id,candidate_inactive,candidate_status,district,district_number,election_districts,election_years,federal_funds_flag,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,load_date,office,office_full,principal_committees
175,DAVID PARTY AFFILIATION,[],C00692772,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-12-13,2018-12-13,2019-04-29,ADAM PARTY ADMINISTRATOR,,,OTH,OTHER,TX,"HANSEN, JEFFREY",,,,,,,,,,,,,,,,,,
264,,['P60020963'],C00674580,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-03-22,2019-04-26,2019-07-31,AJAY SOOD--PRESIDENTIAL CANDIDATE 2020,,,IND,INDEPENDENT,KS,AJAY SOOD,,,,,,,,,,,,,,,,,,
484,,['P60021243'],C00686048,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-08-23,2018-08-23,2018-09-09,AMEER FLIPPIN PRESIDENTIAL EXPLORATORY COMMITTEE 2020,,,,,DC,AMEER FLIPPIN,,,,,,,,,,,,,,,,,,
492,AMERICA FIRST,['P00013102'],C00715276,P,Presidential,[2020],P,Principal campaign committee,Q,2019-08-09,2019-08-09,2019-09-05,AMERICA FIRST,,,OTH,OTHER,CA,"HUMPHREY, BRIAN HUMPHREY",,,,,,,,,,,,,,,,,,
655,DAVID WIATR,"['H8NJ01226', 'P00006544']",C00661397,P,Presidential,"[2018, 2020]",U,Unauthorized,Q,2017-11-23,2019-08-23,2019-08-23,AMERICAN GOVERNANCE PARTY,,,W,WRITE-IN,NJ,"WIATR, DAVID",,,,,,,,,,,,,,,,,,
696,IMMORTAL TECHNIQUE,['P00007096'],C00671792,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-03-01,2018-03-01,2018-03-08,AMERICAN LIBERTY PARTY; THE,,,OTH,OTHER,TX,KEITH DANIEL LANKFORD,,,,,,,,,,,,,,,,,,
749,,['P40003584'],C00564880,P,Presidential,"[2014, 2016, 2018, 2020]",P,Principal campaign committee,Q,2014-06-17,2018-11-05,2018-11-05,AMERICAN PROGRESSIVE COMMITTEE-ERIC SCOTT CAVANAGH,,,REP,REPUBLICAN PARTY,MD,ERIC CAVANAGH,,,,,,,,,,,,,,,,,,
967,DEMOCRATED PARTY PACS,['P80003916'],C00709600,P,Presidential,[2020],P,Principal campaign committee,Q,2019-06-19,2019-06-19,2019-08-12,ANAMO (AMERICA NEEDS A MAKEOVER),,,DEM,DEMOCRATIC PARTY,GA,MICHEL POWELL,,,,,,,,,,,,,,,,,,
1029,,['P60004983'],C00653527,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2017-08-21,2017-08-21,2017-08-24,ANGELO YOSHANNAH SCRIGNA PRESIDENTIAL CAMPAIGN,,,IND,INDEPENDENT,HI,ANGELO YOSHANNAH SCRIGNA,,,,,,,,,,,,,,,,,,
1068,,['P00007898'],C00682096,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-07-03,2018-07-03,2018-07-03,ANTHONY K MOSS JR FOR PRESIDENT,,,IND,INDEPENDENT,FL,ANTHONY K MOSS JR,,,,,,,,,,,,,,,,,,
