Country,State,Time,Commodity,Total Value ($US),Containerized Vessel Total Exports SWT (kg),Containerized Vessel Total Exports Value ($US)
Austria,Maine,Apr-05,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","5,940",,
Austria,Maine,Jun-05,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","5,940",,
Belgium,Maine,Jul-02,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","12,550",,
Belgium,Maine,Aug-02,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","75,654",,
Belgium,Maine,Sep-02,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","236,556",,
Belgium,Maine,Oct-02,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","192,852",,
Belgium,Maine,Nov-02,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","12,396",,
Belgium,Maine,Dec-02,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","52,806",,
Belgium,Maine,Feb-03,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","11,256",,
Belgium,Maine,Sep-03,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","36,399",,
Belgium,Maine,Nov-03,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","6,184",,
Belgium,Maine,Dec-03,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","12,005",,
Belgium,Maine,Sep-05,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","5,000",,
Belgium,Maine,Oct-05,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","68,292",,
Belgium,Maine,Nov-05,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","14,287",,
Belgium,Maine,Dec-05,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","114,891",,
Belgium,Maine,Jan-06,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","9,000",,
Belgium,Maine,Mar-06,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","8,048",,
Belgium,Maine,May-06,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","8,160",,
Belgium,Maine,Oct-06,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","71,680",,
Belgium,Maine,Nov-06,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","19,258",,
Belgium,Maine,Oct-07,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","139,275",,
Belgium,Maine,Dec-07,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","9,000",,
Belgium,Maine,May-08,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","27,270",,
Belgium,Maine,Jun-08,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","27,270",,
Belgium,Maine,Sep-08,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","44,640",,
Belgium,Maine,Oct-08,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","9,000",,
Belgium,Maine,Nov-08,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","60,480",,
Belgium,Maine,Dec-08,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","388,012",,
Belgium,Maine,Nov-09,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","131,040",,
Belgium,Maine,Dec-09,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","26,880",,
Belgium,Maine,Oct-12,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","16,770",,
Belgium,Maine,Dec-12,"030622 Lobsters, Live, Fresh,ch, Dried, Saltd Or In Brine","39,130",,
