,Index,Name,Type,Link,Full URL,real_urls
0,1,MAINE-LY A STITCH IN TIME,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D19930285%2BM&sa=D&ust=1569253417081000&usg=AFQjCNEYGCaEDfPZI1OB5LSbkTBLwUDbyA,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19930285+M
1,2,MAINE-LY ACCOUNTING INCORPORATED,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19840005%2BD&sa=D&ust=1569253417082000&usg=AFQjCNEwfkbbELWdVHdczT2-Esr8jv14ew,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19840005+D
2,3,"MAINE-LY ACTION RENTALS, INC.",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20121068%2BD&sa=D&ust=1569253417083000&usg=AFQjCNE_CiMYwCfmUmr0kAzGPTyLERkXjA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121068+D
3,4,MAINE-LY AIRBORNE LLC,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20121980DC&sa=D&ust=1569253417083000&usg=AFQjCNEIT7eCuPY_ZhVy-8KJOJdgkIfGfg,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121980DC
4,5,MAINE-LY AMISH,ASSUMED,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19992093%2BD&sa=D&ust=1569253417084000&usg=AFQjCNH4zupJHkGAf7RM3P7vE8OBNx2fbQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19992093+D
5,6,MAINE-LY APPLES,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20090861%2BD&sa=D&ust=1569253417084000&usg=AFQjCNFBfqpCiOJSV7v47bGpvMh5papA9Q,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20090861+D
6,7,"MAINE-LY AQUARIUMS, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20163555DC&sa=D&ust=1569253417085000&usg=AFQjCNEneF_f5u9Q_nY0ppDG-_2hdsTPjQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20163555DC
7,8,MAINE-LY ASIAN IMPORTS INC.,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19902305%2BD&sa=D&ust=1569253417085000&usg=AFQjCNH7wejCmXvm_Ru1RbswI8KIYU0pmA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19902305+D
8,9,MAINELY A MEMORY,ASSUMED,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20082548DC&sa=D&ust=1569253417086000&usg=AFQjCNGiZo6ySL2C_wnBKBORbUNu6d7cKQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20082548DC
9,10,"MAINELY ABODES, L.L.C.",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20032358DC&sa=D&ust=1569253417086000&usg=AFQjCNGka8j6eHc32IJwjLGr8m5uhuHfww,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20032358DC
10,11,"MAINELY ACCESS, INC.",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20042486%2BD&sa=D&ust=1569253417087000&usg=AFQjCNELvc6FQQzwoS6aYLUqCxIsRpZiFQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20042486+D
