,names,type,urls,status,owner/org_type,address,owner_or_clerk,filing_date
0,MAINE-LY A STITCH IN TIME,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19930285+M,EXPIRED,INDIVIDUAL,"RR 2, BOX 1008 , PHILLIPS, ME 04966",MARY O. WILFORD,06/08/1993
1,MAINE-LY ACCOUNTING INCORPORATED,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19840005+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"162 U.S. ROUTE 1  BOX 4 , SCARBOROUGH, ME 04074",CRAIG RICHARD TREADWELL,07/01/1983
2,"MAINE-LY ACTION RENTALS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121068+D,DISSOLVED,BUSINESS CORPORATION,"19 MAIN STREET , HARRISON, ME 04040",THOMAS F. SMITH,05/21/2012
3,MAINE-LY AIRBORNE LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121980DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"130 LAKE STREET , AUBURN, ME 04210",JAMES J TRACEY JR.,12/30/2011
4,MAINE-LY AMISH,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19992093+D,GOOD STANDING,BUSINESS CORPORATION,"123 FREE STREET,   SUITE 200,  PORTLAND, ME 04101",EZEKIEL L. CALLANAN,04/28/1999
5,MAINE-LY APPLES,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20090861+D,GOOD STANDING,BUSINESS CORPORATION,"P.O. BOX 205 , PITTSFIELD, ME 04967",ALFRED P. BACHRACH,02/06/2009
6,"MAINE-LY AQUARIUMS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20163555DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"41 POND VIEW DR , LEBANON, ME 04027",ERIC DUMAS,02/04/2016
7,MAINE-LY ASIAN IMPORTS INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19902305+D,DISSOLVED,BUSINESS CORPORATION,"10 BRACKETT STREET , BIDDEFORD, ME 04005",DAVID A. DUNN,05/29/1990
8,MAINELY A MEMORY,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20082548DC,CANCELLED,LIMITED LIABILITY COMPANY   (DOMESTIC),"GOSSELIN & DUBORD, P.A., P.O. BOX 1081,   ,  LEWISTON, ME 04243 1081",PAUL R GOSSELIN,02/21/2008
9,"MAINELY ABODES, L.L.C.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20032358DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 74 , SULLIVAN, ME 04664",MARLY SUCHSMAN,05/28/2003
10,"MAINELY ACCESS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20042486+D,GOOD STANDING,BUSINESS CORPORATION,"P O BOX 275,   ,  CUMBERLAND CTR, ME 04021 0275",ALAN E WOLF,05/18/2004
11,"MAINELY ACCOUNTABLE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20194302DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"70 FRAZIER LANE , ACTON, ME 04001",ANGELIKA EVANOFF,01/28/2019
12,"MAINELY ACQUISITIONS, LLC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20165652DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"188 DARTMOUTH ST , PORTLAND, ME 04103",TIM Q LY,06/08/2016
13,"MAINELY ACUPUNCTURE, L.L.C.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20180969DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"6 HICKORY HOLLOW , SACO, ME 04072",MEGHAN DONLON,08/28/2017
14,MAINELY ADVENTURES GUIDE SERVICE,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20080031+M,EXPIRED,PARTNERSHIP,"PO BOX 445, NORRIDGEWOCK, ME 04957",KEVIN A. WARD,07/30/2007
15,"MAINELY ADVENTURES LODGE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20110148DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 559,   ,  WATERVILLE, ME 04903 0559",MICHAEL F. PHILLIPS,07/16/2010
16,MAINELY AERIALS PHOTOGRAPHY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20165006DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"18 LINWOOD ROAD , FREEPORT, ME 04032",JASON VEILLEUX,04/25/2016
17,"MAINELY AGILITY, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141369DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 388 , RAYMOND, ME 04071",KIM TEES,10/07/2013
18,MAINELY ALPACA LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141747DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"405 MAIN STREET , KINGFIELD, ME 04947",KIMBERLY GANDY,11/13/2013
19,MAINELY ANGELS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20030114+M,EXPIRED,INDIVIDUAL,"RT 2, BOX 8035 , GARDINER, ME 04345",SUSAN WARREN,11/05/2002
20,MAINELY ANTIQUES,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19840075+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"PO BOX 376 , 51 WEST GRAY RD, GRAY, ME 04039",JOSEPH P. CONNELLAN,07/12/1983
21,MAINELY ANTIQUES,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19950286+M,EXPIRED,INDIVIDUAL,"21 MERRILL ROAD , FALMOUTH, ME 04105",LINDA & KEVIN KEIKKINEN,04/27/1995
22,"MAINELY APARTMENTS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20185512DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"183 CLARKS BRIDGE RD , N. WATERBORO, ME 04061",CARL PAUL COUTURE,03/27/2018
23,MAINELY APPLIANCE LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20193343DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"729 BONNY EAGLE RD. , STANDISH, ME 04084",TRAVIS NEVELLS,12/13/2018
24,"MAINELY APPRAISALS & CONSULTING, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100538+D,GOOD STANDING,BUSINESS CORPORATION,"33 FOLLY ROAD , SEBAGO, ME 04029",PAUL G. SMITH,01/04/2010
25,MAINELY AQUATICS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19962713+D,DISSOLVED,BUSINESS CORPORATION,"P.O. BOX 670 , WILTON, ME 04294",CHARLES C. LAVERDIERE,06/06/1996
26,MAINELY ASIA CONSULTING,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20150618+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"11 GOLDENROD LANE , FALMOUTH, ME 04105",KNOX JOHNSON,01/16/2015
27,MAINELY ATMS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19780768+D,GOOD STANDING,BUSINESS CORPORATION,"179 MAIN STREET, SUITE 304 , WATERVILLE, ME 04901",DANIEL J. BERNIER,01/03/1978
28,MAINELY AUDIO LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20042594DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 723,   ,  ELLSWORTH, ME 04605",RAYMOND L. WILLIAMS,04/23/2004
29,MAINELY AUTO,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19851652+D,GOOD STANDING,BUSINESS CORPORATION,"13 MAIN ST. , HARRISON, ME 04040",THOMAS F. SMITH,03/18/1985
30,"MAINELY AUTOS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141923DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"6 FREE STREET , LIVERMORE FALLS, ME 04254","HOWARD SMART, SR.",11/27/2013
31,"MAINELY AVIATION, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20090344+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"588 MAIN STREET , LEWISTON, ME 04240",MICHAEL L. DUBOIS,10/03/2008
32,MAINELY AWNINGS - CANCELLED,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20052904DC,MERGED,LIMITED LIABILITY COMPANY   (DOMESTIC),"84 MARGINAL WAY, SUITE 600,   ,  PORTLAND, ME 04101 2480",BENJAMIN E. MARCUS,04/08/2005
33,MAINELY AWNINGS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19971029+D,GOOD STANDING,BUSINESS CORPORATION,"84 MARGINAL WAY, SUITE 600,   ,  PORTLAND, ME 04101 2480",BENJAMIN E. MARCUS,12/02/1996
34,"MAINE LY BEEF MANAGEMENT, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19911919+D,GOOD STANDING,BUSINESS CORPORATION,"FIVE MAPLE STREET , P.O. BOX 368, LISBON FALLS, ME 04252",RICHARD GOLDEN,05/02/1991
35,MAINE-LY BABYSITTERS!,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19870272+M,EXPIRED,INDIVIDUAL,"RR 1 BOX 308 , NAPLES, ME 04055",JAY N. DWELLEY,03/19/1987
36,"MAINE-LY BATTERIES, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19980455+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"477 CONGRESS ST , PORTLAND, ME 04101",RALPH A. DYER,09/08/1997
37,"MAINE-LY BATTERIES, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20110668+D,GOOD STANDING,BUSINESS CORPORATION,"PO BOX 9546,   ,  PORTLAND, ME 04112 9546",JASON G. HOWE,01/18/2011
38,"MAINE-LY BREAD & SNACK, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20186374DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",05/08/2018
39,"MAINELY BABIES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20143715DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 4600,   ,  PORTLAND, ME 04112 4600",CHRISTOPHER L. BROOKS,04/17/2014
40,MAINELY BABY BOTTOMS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19930167+D,EXCUSED,BUSINESS CORPORATION,"RFD 2, BOX 6781 , SEVERY HILL ROAD, JAY, ME 04239",VICKI N. FRANTZ,07/28/1992
41,MAINELY BABY BOUTIQUE L.L.C.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20164606DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"197 PAYNE RD , SCARBOROUGH, ME 04074",LINDSAY DUPUIS,04/14/2016
