Date,Movie Title,,Member Ranks,,,,,,,,,,,,,"Member
Average","Member
Std. Dev",,Guest Ranks,,,,,,,,,,,,,,,,,,,,,,,"Overall
Average","Overall
Std. Dev",Recommender,,,,
,,Year,Katie,Mike,Laurel,Erik,Kyle,Chad ,Fitz,Eric,Arden,Dieu,Jasmine,Darren,Kaitlyn,,,Zach,Joe,Karl,Patrick ,Will ,Brittany ,Adina,Ryan,Bonnie,Shelby K,Emily,Mavis ,Hillary,Cam,Jamie,Andy,Summer,Andre,Mary,Ellery,Shelby W,Mr. Mauro,Genny,Lisa,,,,,,,
10/9/2017,Atonement,2007,4.25,3.50,4.00,3.50,4.00,,,,,,,,,3.85,0.34,,,,,,,,,,,,,,,,,,,,,,,,,3.85,0.34,Mike,,Mike,18,3.74
10/16/2017,City of God,2002,4.00,4.75,4.50,,,4.50,,,,,,,,4.42,0.31,,3.75,4.00,,,,,,,,,,,,,,,,,,,,,,4.25,0.39,Laurel,,Laurel,6,3.99
10/23/2017,Inside Llewyn Davis,2013,,4.25,3.00,5.00,4.00,3.50,,,,,,,,4.06,0.76,,,,,,,,,,,,,,,,,,,,,,,,,3.95,0.76,Bolda,,Bolda,5,3.59
10/30/2017,It Follows,2014,2.00,4.00,2.00,3.25,3.00,2.75,,,,,,,,2.85,0.77,,,3.75,,,,,,,,,,,,,,,,,,,,,,2.96,0.78,Katie,,Katie,10,3.90
11/7/2017,Okja,2017,3.75,2.75,4.00,2.00,4.00,3.50,,,,,,,,3.30,0.80,,,,,,,,,,,,,,,,,,,,,,,,,3.33,0.80,Kyle,,Kyle,4,3.72
11/14/2017,Best in Show ,2000,3.25,3.50,3.75,,,,,,,,,,,3.50,0.25,,,,4.00,,,,,,,,,,,,,,,,,,,,,3.63,0.32,Chad,,Chad,5,3.69
11/20/2017,A Scanner Darkly ,2006,3.00,3.75,2.75,,3.25,3.25,,,,,,,,3.20,0.37,,,,,3.00,,,,,,,,,,,,,,,,,,,,3.17,0.34,Mike,,Fitz,9,3.98
11/27/2017,When Harry Met Sally...,1989,4.75,4.50,4.50,4.25,4.00,4.25,,,,,,,,4.38,0.26,,,,3.50,,,,,,,,,,,,,,,,,,,,,4.25,0.41,Katie,,Arden,2,3.50
12/4/2017,The Big Sick ,2017,3.75,4.25,4.00,4.00,3.75,4.00,,,,,,,,3.96,0.19,,,,,,4.75,,,,,,,,,,,,,,,,,,,4.07,0.35,Bolda,,Kaitlyn,1,3.47
12/11/2017,The Handmaiden,2016,4.00,3.50,4.25,,,4.00,,,,3.75,,,,3.94,0.31,,,4.25,,,,,,,,,,,,,,,,,,,,,,3.96,0.29,Katie,,Dieu,0,N/A
12/18/2017,The Shop Around the Corner ,1940,4.00,4.00,3.75,,,3.75,,,,,,,,3.88,0.14,,4.25,,,,,3.75,3.50,,,,,,,,,,,,,,,,,3.86,0.24,Katie,,Darren,1,N/A
1/8/2018,Tickled ,2016,2.25,3.75,4.50,3.75,3.25,3.75,4.25,3.00,3.25,,,,,3.54,0.75,,,,,,,,,,,,,,,,,,,,,,,,,3.53,0.68,Chad,,Jasmine,0,N/A
1/15/2018,The Meyerowitz Stories ,2017,3.00,3.50,2.00,2.75,2.50,3.00,1.75,,,,,,,2.79,0.51,,,,,,,,,,,,,,,,,,,,,,,,,2.64,0.61,Bolda,,,,
1/22/2018,Room,2015,3.75,3.50,4.25,3.50,4.25,,4.25,,,,,,,3.85,0.38,,4.25,,2.75,,,,,4.00,,,,,,,,,,,,,,,,3.83,0.52,Kyle,,,,
1/29/2018,Eternal Sunshine of the Spotless Mind,2004,4.00,5.00,3.75,4.50,4.00,4.25,,,,,,,,4.25,0.45,,,,,,,,,,,,,,,,,,,,,,,,,4.25,0.45,Mike,,,,
2/5/2018,Life is Beautiful,1997,5.00,4.25,4.75,,,4.00,5.00,,,,,,,4.60,0.45,,,,,,,,,,,,,,,,,,,,,,,,,4.60,0.45,Katie,,,,
2/12/2018,Icarus ,2017,4.25,4.25,4.50,3.75,4.25,4.00,4.75,,,,,,,4.25,0.32,,,,,,,,,,,,,,,,,,,,,,,,,4.25,0.32,Mike,,,,
2/26/2018,Mudbound,2017,4.25,3.00,3.75,3.75,4.50,3.75,4.25,4.25,4.00,,,,,3.89,0.50,,,,,,,,,,,,,,,,,,,,,,,,,3.94,0.45,Kyle,,,,
3/5/2018,Boyhood ,2014,3.50,,,5.00,4.50,4.00,3.75,,,,,,,4.15,0.60,,,,5.00,,,,,4.00,,,,,,,,,,,,,,,,4.25,0.60,Bolda,,,,
3/12/2018,The Iron Giant ,1999,3.25,2.75,,3.00,3.25,3.50,3.75,,,,,,,3.25,0.35,,,,,,,,,,3.75,,,,,,,,,,,,,,,3.32,0.37,Katie,,,,
3/19/2018,Coco,2017,4.50,4.25,4.50,,4.25,4.50,4.75,,,4.50,,,,4.46,0.19,,,,,,,,,,,4.50,,,,,,,,,,,,,,4.47,0.16,Laurel,,,,
3/26/2018,Wonder Woman,2017,,3.50,3.75,3.25,3.50,3.75,4.25,,,,,,,3.67,0.34,,,,,,,,,,,,,,,,,,,,,,,,,3.67,0.34,Laurel,,,,
4/9/2018,A League of Their Own,1992,4.75,3.25,4.50,3.50,4.00,4.00,,,,,,,,4.00,0.57,,4.00,,,,,,,,,,,,,,,,,,,,,,,4.00,0.52,Katie,,,,
4/16/2018,Good Time ,2017,3.00,3.75,2.50,2.50,3.25,,3.00,2.75,3.00,,,,,3.00,0.47,,,,,,,,,,,,,,,,,,,,,,,,,2.97,0.41,Bolda,,,,
4/23/2018,Get Out,2017,4.50,4.50,4.25,4.25,4.50,,4.75,4.50,4.50,,,,,4.46,0.19,,,,,,,,,,,4.50,,,,,,,,,,,,,,4.47,0.15,Katie,,,,
4/30/2018,Barkley Marathon ,2014,3.50,3.25,4.75,3.50,,4.50,5.00,,,,,,,4.08,0.75,,,,,,,,,,5.00,,,,,,,,,,,,,,,4.21,0.77,Fitz,,,,
5/7/2018,The Florida Project,2017,2.50,4.25,3.50,2.75,,3.75,3.50,2.50,3.00,4.50,,,,3.22,0.63,,,,,,,,,,,,,,,,,,,,,,,,,3.36,0.73,Mike,,,,
5/14/2018,Memento,2000,3.75,4.50,3.75,,3.50,,5.00,4.50,4.25,,,,,4.18,0.53,,4.25,,,,,,,,,,,,,,,,,,,,,,,4.19,0.50,Fitz,,,,
5/21/2018,The Prestige,2006,4.25,3.75,,3.00,,,4.50,3.75,4.50,,,,,3.96,0.58,,,,,,,,,,,,,,,,,,,,,,,,,3.96,0.58,Fitz,,,,
5/28/2018,Hoop Dreams ,1994,3.50,4.25,4.00,,4.00,,3.25,3.25,2.50,,,,,3.54,0.60,,,,,,,,,,,,3.75,,,,,,,,,,,,,3.56,0.56,Chad,,,,
6/4/2018,The Fall,2008,4.25,4.00,2.5*,3.75,3.75,3.75,4.50,2.75,4.00,,,,,3.84,0.52,,,,,,,,,,,,,,,,,,,,,,,,,3.84,0.52,Mike,,,,
6/11/2018,Everest ,2015,3.25,3.50,2.50,3.00,3.50,3.50,4.00,3.75,4.25,,,,,3.47,0.52,,,,,,,,,,,,,,,,,,,,,,,,,3.47,0.52,Arden,,,,
6/18/2018,Hot Fuzz,2007,4.25,4.00,3.75,4.00,3.75,4.00,5.00,,,,,,,4.11,0.43,,,,,,,,,,,,,,,,,,,,,,,,,4.11,0.43,Mike,,,,
6/25/2018,Love Simon,2018,3.50,3.75,3.75,3.50,4.00,,3.75,,,,,,,3.71,0.19,,,,,,,,,,,,3.25,4.00,3.00,,,,,,,,,,,3.61,0.33,Mike,,,,
7/2/2018,Slumdog Millionaire,2008,3.50,2.50,,2.75,4.00,3.75,3.50,3.75,4.50,,,,,3.53,0.65,,,,,,,,,,,,,,,,,,,,,,,,,3.53,0.65,Arden,,,,
7/9/2018,Double Indemnity,1944,4.25,3.75,,4.50,3.75,3.75,4.25,,,,,,,4.04,0.33,,,,,,,,,,,,,,,,,,,,,,,,,4.04,0.33,Mike,,,,
7/16/2018,The Secret Life of Walter Mitty ,2013,3.50,,3.00,,3.75,3.50,5.00,,,,,,,3.75,0.75,,,,,,,,,,,,3.75,,,,,,,,,,,,,3.75,0.67,Fitz,,,,
7/23/2018,Brokeback Mountain,2005,4.25,4.25,4.00,3.75,4.25,3.75,,,,4.00,,,,4.04,0.25,,,,,,,,3.50,,,,,,,,,,,,,,,,,3.97,0.28,Katie,,,,
8/6/2018,Once ,2006,4.00,3.50,4.00,,3.75,4.00,4.50,,,,,,,3.96,0.33,,,,,,,,,,,,,1.75,3.00,,,,,,,,,,,3.56,0.85,Fitz,,,,
8/13/2018,Gone Girl,2014,3.50,4.50,,,3.25,3.50,3.50,,,,,,,3.65,0.49,,,,,,,,,,,,,,,,,,,,,,,,,3.65,0.49,Mike,,,,
8/20/2018,Children of Men,2006,3.50,4.50,,,4.00,3.75,4.75,,,,,,,4.10,0.52,,,,,,,,,,,,,,,,,,,,,,,,,4.10,0.52,Fitz,,,,
8/27/2018,Swingers,1996,,5.00,,,3.25,3.25,3.00,,,,,,,3.63,0.92,,,,,,,,,,,,,,,2.75,,,,,,,,,,3.45,0.89,Mike,,,,
9/10/2018,Hereditary,2018,3.75,3.00,,,3.50,4.00,4.00,,,,,,,3.65,0.42,,,,,,,,,,,,,,,,,,,,,,,,,3.65,0.42,Katie,,,,
9/17/2018,Lion,2017,3.25,3.50,,,4.50,3.75,4.25,,,4.50,3.50,,,3.85,0.52,,,,,,,,,,,,,3.75,,,,,,,,,,,,3.88,0.48,Kyle,,,,
9/24/2018,Fargo,1996,4.25,4.00,,,4.00,3.75,2.75,,,,,,,3.75,0.59,,,,,,,,,,,,,,,3.50,4.25,3.00,4.25,,,,,,,3.75,0.56,Mike,,,,
