EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10215213,BOWDOIN COLLEGE,% LISA A ROUX,3530 COLLEGE STA,BRUNSWICK,ME,04011-8426,0,3,3,2000,193506,1,11,30319349,1,1,201706,9,9,1,0,6,2036597000,556018000,232189000,B420,
10238552,MAINEHEALTH,,22 BRAMHALL ST,PORTLAND,ME,04102-3134,0,3,3,1000,195803,1,12,150000000,1,1,201709,9,9,1,0,9,1677908443,1798870069,1388579231,E220,
10211497,PRESIDENT & TRUSTEES OF COLBY COLLEGE,% RUBEN L RIVERA CONTROLLER,4120 MAYFLOWER HL,WATERVILLE,ME,04901-8841,0,3,3,2000,194404,1,11,46030000,1,1,201706,9,9,1,0,6,1481774000,388274000,259649000,B420,
10211513,JACKSON LABORATORY,% S CATHERINE LONGLEY,600 MAIN ST,BAR HARBOR,ME,04609-1522,0,3,1,8000,195005,1,15,161180059,1,1,201712,9,9,1,0,12,890104660,428205272,375965824,H920,
10211501,EASTERN MAINE HEALTHCARE SYSTEMS,,43 WHITING HILL RD,BREWER,ME,04412-1005,5247,3,9,1000,200506,1,12,151000000,5,1,201709,9,9,1,0,9,832219544,2015565788,1860478531,E200,EASTERN MAINE MEDICAL CENTER
10527066,EASTERN MAINE HEALTHCARE SYSTEMS,,43 WHITING HILL ROAD,BREWER,ME,04412-1005,5247,3,6,1000,200001,1,17,0,1,1,201709,9,9,1,0,9,688214356,260928401,141703382,,
320265031,MAINEGENERAL HEALTH,% JEREMY STORER,35 MEDICAL CENTER PKWY,AUGUSTA,ME,04330-8160,9706,3,9,1000,200608,1,12,0,1,1,201706,9,9,3,0,6,645274807,554353974,495457518,,GROUP RETURN
10211781,PRESIDENT AND TRUSTEES OF BATES COLLEGE,% TREASURER,216 LANE HALL 2 ANDREWS ROAD,LEWISTON,ME,04240-0000,0,3,3,1000,199304,1,11,59000000,1,1,201706,9,9,1,0,6,638476763,277118036,221756320,B420,BATES COLLEGE
223281672,HAROLD ALFOND FOUNDATION,% DEXTER ENTERPRISES,TWO MONUMENT SQUARE,PORTLAND,ME,04101-4093,0,3,3,1000,199405,1,4,602000000,2,1,201712,9,9,0,1,12,598166842,89600941,,T22,ALFOND PETER TTEE
10391479,MAINE COMMUNITY FOUNDATION INC,,245 MAIN ST,ELLSWORTH,ME,04605-1613,0,3,3,1000,198401,1,15,903000000,1,1,201712,9,9,1,0,12,532553445,293685277,66291435,T310,
10211810,UNIVERSITY OF NEW ENGLAND,,11 HILLS BEACH RD,BIDDEFORD,ME,04005-9526,0,3,3,2000,199708,1,11,46000000,1,1,201705,9,9,1,0,5,471962981,267940887,260089102,B430,
10431680,MAINEHEALTH,% PAYROLL SUPERVISOR,22 BRAMHALL ST,PORTLAND,ME,04102-3134,0,3,3,1000,199808,1,17,164000000,1,1,201709,9,9,1,0,9,456454482,62652046,62652046,E12,
10353275,MARTINS POINT HEALTH CARE INC,,331 VERANDA ST,PORTLAND,ME,04103-5545,0,3,3,1000,198207,1,16,164000000,1,1,201712,9,9,1,0,12,345769239,469698787,424576446,E320,
10179500,SOUTHERN MAINE HEALTH CARE,,PO BOX 626,BIDDEFORD,ME,04005-0626,0,3,3,1000,199311,1,12,150000000,1,1,201709,9,9,1,0,9,276279893,287566331,287084791,E220,
10216328,EVERGREEN CREDIT UNION,% TUCKER COLE,PO BOX 1038,PORTLAND,ME,04104-1038,0,14,3,1000,196911,2,0,921922000,5,1,201712,9,8,1,0,12,269528838,11687004,11687004,,
10211494,CENTRAL MAINE MEDICAL CENTER,% DAVID THOMPSON,PO BOX 4500,LEWISTON,ME,04243-4500,0,3,3,1200,194203,1,12,150030000,1,1,201706,9,9,1,0,6,263850078,407199449,401839075,E220,
16011501,UNIVERSITY OF MAINE FOUNDATION,,TWO ALUMNI PLACE,ORONO,ME,04469-5792,0,3,3,1000,194012,1,15,928000000,1,1,201706,9,8,1,0,6,232941554,39165113,19762322,B110,
10498551,JOHN T GORMAN FOUNDATION,% NORTHERN TRUST CO TTEE,1 CANAL PLZ STE 800,PORTLAND,ME,04101-4083,0,3,3,1000,199509,1,4,602000000,1,1,201712,9,9,0,1,12,201374440,75790475,,T21J,
46626994,LIBRA FOUNDATION OWEN W WELLS TRUSTEE,,THREE CANAL PLAZA,PORTLAND,ME,04101-4080,0,3,3,1000,199003,1,4,602000000,2,1,201712,9,9,0,1,12,200510123,354129639,,,
237099105,MAINE COAST HERITAGE TRUST,,1 BOWDOIN MILL ISLAND ST,TOPSHAM,ME,04086-1265,0,3,3,1000,197101,1,15,350000000,2,1,201712,9,8,1,0,12,200360916,49385149,10661006,C340,
10215911,MID COAST HOSPITAL,% ACCOUNTING,329 MAINE ST,BRUNSWICK,ME,04011-3310,0,3,3,1000,194008,1,12,150000000,1,1,201709,9,9,1,0,9,198665023,211893826,200270296,E220,
10387404,ELMINA B SEWALL FOUNDATION,,15 MAIN ST STE 230,FREEPORT,ME,04032-1100,0,3,3,1000,198306,1,4,602000000,1,1,201709,9,8,0,1,9,186418437,43749203,,,
10211551,ST MARYS REGIONAL MEDICAL CENTER,,PO BOX 291,LEWISTON,ME,04243-0291,0,3,3,1000,196912,1,12,150120000,1,1,201712,9,9,1,0,12,182429066,230919129,230869522,E220,CAMPUS AVE
10386913,CENTRAL MAINE HEALTHCARE CORPORATION,% DAVID THOMPSON,29 LOWELL ST BOX A,LEWISTON,ME,04240-7639,0,3,3,1000,198303,1,15,927994179,1,1,201706,9,9,1,0,6,175093789,76634167,59521183,E210,
10177170,WALDO COUNTY GENERAL HOSPITAL,,118 NORTHPORT AVE,BELFAST,ME,04915-6009,0,3,3,1000,195102,1,12,150000000,1,1,201709,9,9,1,0,9,156987635,113205554,104533166,E220,
10211534,MERCY HOSPITAL,,43 WHITING HILL ROAD,BREWER,ME,04412-1005,0,3,3,1000,194705,1,12,30150000,1,1,201709,9,9,1,0,9,151253463,515114518,514841383,E220,ATTN PAYROLL DEPT
134038907,CIEE INC,% LORI SANDS,300 FORE ST,PORTLAND,ME,04101-4110,0,3,3,2000,199904,1,16,0,1,1,201708,9,9,1,0,8,146623154,159869529,149638100,Q22,COUNCIL INTERNATIONAL STUDY PROGRAM
10212444,YORK HOSPITAL,,15 HOSPITAL DRIVE 2C,YORK,ME,03909-1011,0,3,3,1000,193805,1,12,150000000,1,1,201712,9,9,1,0,12,143822446,194822395,179747265,E220,
10376832,MAINE VETERANS HOME,% FINANCE DEPT,460 CIVIC CENTER DR,AUGUSTA,ME,04330-7902,0,3,3,1000,198109,1,15,152907000,1,1,201706,9,9,1,0,6,142818715,102860409,97808788,E910,
10535144,MAINE HEALTH ACCESS FOUNDATION INC,% WENDY J WOLF,150 CAPITOL ST STE 4,AUGUSTA,ME,04330-6858,0,3,3,1000,200104,1,4,0,1,1,201712,9,8,0,1,12,127435694,28684978,,E12,
10285286,PENOBSCOT BAY MEDICAL CENTER,% ELMER DOUCETTE,4 WHITE ST,ROCKLAND,ME,04841-2953,0,3,3,1000,197006,1,12,150179000,1,1,201709,9,9,1,0,9,121309094,116635008,116598095,E22,
10271210,HUSSON UNIVERSITY,% BRIAN SNOWDEN,1 COLLEGE CIR,BANGOR,ME,04401-2929,0,3,3,1000,196408,1,11,46030000,1,1,201706,9,9,1,0,6,115353931,70854234,68792826,B500,
10284446,REDINGTON-FAIRVIEW GENERAL HOSPITAL,,PO BOX 468,SKOWHEGAN,ME,04976-0468,0,3,3,1000,196910,1,12,150000000,1,1,201806,9,9,1,0,6,115195180,106492964,106492964,E220,
42864042,DAVIS EDUCATIONAL FOUNDATION,,30 FOREST FALLS DR STE 5,YARMOUTH,ME,04096-6983,0,3,3,1000,198507,1,17,602000000,2,1,201712,9,8,1,0,12,111237456,16321905,4957114,B120,
10496258,MAINE LIFE CARE RETIREMENT COMMUNITY INC,,15 PIPER RD,SCARBOROUGH,ME,04074-9473,0,3,3,1000,199603,1,16,995153000,1,1,201712,9,8,1,0,12,109358739,29743554,18614911,L22,
474682941,MARTINS POINT GENERATIONS ADVANTAGE INC,% ANN R CONNELLY,PO BOX 9746,PORTLAND,ME,04104-5040,0,4,3,3000,201602,1,0,0,1,1,201712,9,9,1,0,12,108938535,417006291,391788885,E99,
10347504,COASTAL ENTERPRISES INC,,30 FEDERAL ST,BRUNSWICK,ME,04011-1510,0,3,3,1000,197810,1,15,403000000,1,1,201709,9,8,1,0,9,104779224,28560797,12465209,L21,
237032625,COLLEGE OF THE ATLANTIC,,105 EDEN ST,BAR HARBOR,ME,04609-1136,0,3,3,2000,196909,1,11,46030000,1,1,201806,9,8,1,0,6,100372090,43667334,37908493,,
237102758,MOUNT DESERT LAND AND GARDEN PRESERVE,,92 COOKSEY DR,SEAL HARBOR,ME,04675-0000,0,3,3,1000,199309,1,15,350059000,1,1,201712,9,8,1,0,12,92820371,32835299,32824768,,
222514163,EASTERN MAINE HEALTHCARE SYSTEMS,,43 WHITING HILL ROAD,BREWER,ME,04412-1005,5247,3,9,1000,200506,1,17,179000000,5,1,201709,9,8,1,0,9,81773802,22236393,14114720,E200,EMHS FOUNDATION
