﻿Sumlev,State,County,Place,Cousub,Concit,Primgeo Flag,Funcstat,Name,Year,Census Year,2010 Census Population,City/Town,Lower City
61,23,21,0,100,0,1,A,Abbot town,Census2010Pop,1/1/10,714,Abbot,abbot
61,23,31,0,275,0,1,A,Acton town,Census2010Pop,1/1/10,"2,447",Acton,acton
61,23,29,0,380,0,1,A,Addison town,Census2010Pop,1/1/10,"1,266",Addison,addison
61,23,11,0,590,0,1,A,Albion town,Census2010Pop,1/1/10,"2,041",Albion,albion
61,23,29,0,660,0,1,A,Alexander town,Census2010Pop,1/1/10,499,Alexander,alexander
61,23,31,0,730,0,1,A,Alfred town,Census2010Pop,1/1/10,"3,019",Alfred,alfred
61,23,3,0,800,0,1,A,Allagash town,Census2010Pop,1/1/10,239,Allagash,allagash
61,23,15,0,"1,010",0,1,A,Alna town,Census2010Pop,1/1/10,709,Alna,alna
61,23,19,0,"1,115",0,1,A,Alton town,Census2010Pop,1/1/10,890,Alton,alton
61,23,9,0,"1,185",0,1,A,Amherst town,Census2010Pop,1/1/10,265,Amherst,amherst
61,23,3,0,"1,220",0,1,A,Amity town,Census2010Pop,1/1/10,238,Amity,amity
61,23,17,0,"1,325",0,1,A,Andover town,Census2010Pop,1/1/10,821,Andover,andover
61,23,25,0,"1,395",0,1,A,Anson town,Census2010Pop,1/1/10,"2,511",Anson,anson
61,23,13,0,"1,465",0,1,A,Appleton town,Census2010Pop,1/1/10,"1,316",Appleton,appleton
61,23,23,0,"1,570",0,1,A,Arrowsic town,Census2010Pop,1/1/10,427,Arrowsic,arrowsic
61,23,31,0,"1,605",0,1,A,Arundel town,Census2010Pop,1/1/10,"4,022",Arundel,arundel
61,23,3,0,"1,710",0,1,A,Ashland town,Census2010Pop,1/1/10,"1,302",Ashland,ashland
61,23,25,0,"1,885",0,1,A,Athens town,Census2010Pop,1/1/10,"1,019",Athens,athens
61,23,21,0,"1,920",0,1,A,Atkinson town,Census2010Pop,1/1/10,326,Atkinson,atkinson
71,23,1,"2,060","2,060",0,1,A,Auburn city,Census2010Pop,1/1/10,"23,055",Auburn,auburn
71,23,11,"2,100","2,100",0,1,A,Augusta city,Census2010Pop,1/1/10,"19,136",Augusta,augusta
61,23,9,0,"2,165",0,1,A,Aurora town,Census2010Pop,1/1/10,114,Aurora,aurora
61,23,7,0,"2,235",0,1,A,Avon town,Census2010Pop,1/1/10,461,Avon,avon
