State,Year,(R01) Total Revenue,(E087) Police Prot-Direct Exp,(E088) Police Prot-Cur Oper (E62),(E089) Police Prot-Cap Outlay
United States,1977,"$794,649,301 ","$35,902,091 ","$34,371,810 ","$1,530,281 "
United States,1978,"$806,484,929 ","$36,176,892 ","$34,589,688 ","$1,587,205 "
United States,1979,"$792,183,796 ","$35,056,208 ","$33,613,265 ","$1,442,943 "
United States,1980,"$768,374,588 ","$34,011,608 ","$32,607,980 ","$1,403,627 "
United States,1981,"$776,171,404 ","$34,185,783 ","$32,772,633 ","$1,413,151 "
United States,1982,"$800,949,377 ","$35,854,010 ","$34,342,579 ","$1,511,430 "
United States,1983,"$831,417,039 ","$37,740,725 ","$36,332,612 ","$1,408,113 "
United States,1984,"$863,556,729 ","$38,853,299 ","$37,370,622 ","$1,482,676 "
United States,1985,"$916,873,630 ","$40,646,748 ","$39,032,250 ","$1,614,498 "
United States,1986,"$972,432,783 ","$43,292,050 ","$41,497,611 ","$1,794,439 "
United States,1987,"$1,016,022,549 ","$45,542,705 ","$43,494,982 ","$2,047,723 "
United States,1988,"$1,025,741,628 ","$46,335,927 ","$44,513,303 ","$1,822,624 "
United States,1989,"$1,051,750,134 ","$46,715,964 ","$44,771,765 ","$1,944,199 "
United States,1990,"$1,084,370,118 ","$48,930,408 ","$46,746,965 ","$2,183,443 "
United States,1991,"$1,101,747,480 ","$50,367,276 ","$48,205,407 ","$2,161,868 "
United States,1992,"$1,144,736,244 ","$53,406,623 ","$51,321,257 ","$2,085,367 "
United States,1993,"$1,156,746,578 ","$53,343,379 ","$51,329,344 ","$2,014,035 "
United States,1994,"$1,192,354,804 ","$55,110,179 ","$53,056,095 ","$2,054,084 "
United States,1995,"$1,218,202,041 ","$56,808,000 ","$54,415,609 ","$2,392,391 "
United States,1996,"$1,255,653,116 ","$59,653,173 ","$56,754,054 ","$2,899,120 "
United States,1997,"$1,297,560,716 ","$62,188,263 ","$59,228,947 ","$2,959,316 "
United States,1998,"$1,367,951,575 ","$65,129,667 ","$62,048,382 ","$3,081,285 "
United States,1999,"$1,401,171,706 ","$67,027,943 ","$63,858,786 ","$3,169,157 "
United States,2000,"$1,443,139,916 ","$68,635,547 ","$65,558,604 ","$3,076,944 "
United States,2001,"$1,478,402,538 ","$70,195,281 ","$67,313,926 ","$2,881,356 "
United States,2002,"$1,475,726,613 ","$75,008,623 ","$71,732,271 ","$3,276,352 "
United States,2003,"$1,519,521,050 ","$76,601,343 ","$73,677,894 ","$2,923,449 "
United States,2004,"$1,619,047,126 ","$78,626,270 ","$75,824,950 ","$2,801,321 "
United States,2005,"$1,640,924,035 ","$80,515,795 ","$77,634,180 ","$2,881,615 "
United States,2006,"$1,711,169,889 ","$82,275,045 ","$79,242,700 ","$3,032,345 "
United States,2007,"$1,819,465,676 ","$85,846,316 ","$82,357,740 ","$3,488,576 "
United States,2008,"$1,742,564,606 ","$88,124,880 ","$84,589,796 ","$3,535,084 "
United States,2009,"$1,663,568,518 ","$94,604,244 ","$90,802,735 ","$3,801,510 "
United States,2010,"$1,838,640,516 ","$93,745,999 ","$89,986,987 ","$3,759,012 "
United States,2011,"$1,820,729,718 ","$91,437,242 ","$88,092,535 ","$3,344,707 "
United States,2012,"$1,721,318,259 ","$89,628,391 ","$86,480,800 ","$3,147,591 "
United States,2013,"$1,775,977,139 ","$89,706,676 ","$86,434,716 ","$3,271,960 "
United States,2014,"$1,829,432,027 ","$90,788,443 ","$87,665,984 ","$3,122,458 "
United States,2015,"$1,823,321,406 ","$93,503,152 ","$90,397,888 ","$3,105,264 "
United States,2016,"$1,842,310,400 ","$96,120,165 ","$92,938,119 ","$3,182,046 "
United States,2017,"$1,938,485,304 ","$99,077,829 ","$95,782,494 ","$3,295,335 "
Maine,1977,"$2,486,763 ","$95,969 ","$90,310 ","$5,659 "
Maine,1978,"$2,568,019 ","$90,600 ","$86,221 ","$4,380 "
Maine,1979,"$2,458,608 ","$96,627 ","$93,119 ","$3,508 "
Maine,1980,"$2,319,879 ","$92,560 ","$87,708 ","$4,852 "
Maine,1981,"$2,268,188 ","$87,947 ","$84,657 ","$3,290 "
Maine,1982,"$2,382,180 ","$88,962 ","$85,678 ","$3,284 "
Maine,1983,"$2,399,636 ","$88,211 ","$85,509 ","$2,702 "
Maine,1984,"$2,589,755 ","$97,354 ","$93,643 ","$3,711 "
Maine,1985,"$2,724,377 ","$101,205 ","$97,524 ","$3,681 "
Maine,1986,"$2,799,812 ","$106,097 ","$102,398 ","$3,699 "
Maine,1987,"$3,005,687 ","$111,543 ","$105,039 ","$6,503 "
Maine,1988,"$3,220,036 ","$116,613 ","$108,812 ","$7,801 "
Maine,1989,"$3,380,859 ","$119,660 ","$114,621 ","$5,039 "
Maine,1990,"$3,488,903 ","$121,725 ","$116,495 ","$5,231 "
Maine,1991,"$3,638,002 ","$127,248 ","$121,788 ","$5,460 "
Maine,1992,"$4,053,794 ","$133,544 ","$129,203 ","$4,342 "
Maine,1993,"$3,828,740 ","$131,011 ","$127,763 ","$3,248 "
Maine,1994,"$3,909,652 ","$134,103 ","$130,195 ","$3,908 "
Maine,1995,"$3,934,749 ","$146,633 ","$144,825 ","$1,808 "
Maine,1996,"$4,083,816 ","$148,909 ","$146,945 ","$1,964 "
Maine,1997,"$4,373,568 ","$151,403 ","$148,911 ","$2,492 "
Maine,1998,"$4,680,765 ","$164,934 ","$162,691 ","$2,244 "
Maine,1999,"$4,553,410 ","$166,483 ","$163,564 ","$2,919 "
Maine,2000,"$4,550,752 ","$168,588 ","$164,420 ","$4,168 "
Maine,2002,"$4,936,371 ","$165,680 ","$161,812 ","$3,868 "
Maine,2004,"$5,163,866 ","$190,232 ","$180,427 ","$9,805 "
Maine,2005,"$5,102,864 ","$194,418 ","$184,740 ","$9,678 "
Maine,2006,"$5,014,931 ","$191,707 ","$182,487 ","$9,220 "
Maine,2007,"$5,049,128 ","$191,238 ","$185,049 ","$6,189 "
Maine,2008,"$5,126,135 ","$186,046 ","$180,136 ","$5,910 "
Maine,2009,"$5,397,915 ","$194,978 ","$190,322 ","$4,656 "
Maine,2010,"$5,323,151 ","$200,470 ","$191,423 ","$9,047 "
Maine,2011,"$5,128,029 ","$193,572 ","$186,659 ","$6,913 "
Maine,2012,"$4,994,149 ","$187,953 ","$182,928 ","$5,025 "
Maine,2013,"$4,941,683 ","$191,849 ","$183,035 ","$8,813 "
Maine,2014,"$4,979,001 ","$195,196 ","$189,038 ","$6,159 "
Maine,2015,"$5,084,616 ","$195,449 ","$189,685 ","$5,764 "
Maine,2016,"$5,246,334 ","$209,208 ","$204,952 ","$4,256 "
Maine,2017,"$5,226,347 ","$220,016 ","$212,033 ","$7,983 "
Massachusetts,1977,"$22,288,389 ","$1,130,359 ","$1,100,949 ","$29,410 "
