State,Year,(R01) Total Revenue,(E087) Police Prot-Direct Exp,(E088) Police Prot-Cur Oper (E62),(E089) Police Prot-Cap Outlay
United States,1977,"$3,616 ",$163 ,$156 ,$7 
United States,1978,"$3,631 ",$163 ,$156 ,$7 
United States,1979,"$3,528 ",$156 ,$150 ,$6 
United States,1980,"$3,382 ",$150 ,$144 ,$6 
United States,1981,"$3,383 ",$149 ,$143 ,$6 
United States,1982,"$3,457 ",$155 ,$148 ,$7 
United States,1983,"$3,556 ",$161 ,$155 ,$6 
United States,1984,"$3,662 ",$165 ,$158 ,$6 
United States,1985,"$3,854 ",$171 ,$164 ,$7 
United States,1986,"$4,050 ",$180 ,$173 ,$7 
United States,1987,"$4,193 ",$188 ,$180 ,$8 
United States,1988,"$4,195 ",$190 ,$182 ,$7 
United States,1989,"$4,261 ",$189 ,$181 ,$8 
United States,1990,"$4,344 ",$196 ,$187 ,$9 
United States,1991,"$4,355 ",$199 ,$191 ,$9 
United States,1992,"$4,463 ",$208 ,$200 ,$8 
United States,1993,"$4,450 ",$205 ,$197 ,$8 
United States,1994,"$4,532 ",$209 ,$202 ,$8 
United States,1995,"$4,575 ",$213 ,$204 ,$9 
United States,1996,"$4,661 ",$221 ,$211 ,$11 
United States,1997,"$4,759 ",$228 ,$217 ,$11 
United States,1998,"$4,959 ",$236 ,$225 ,$11 
United States,1999,"$5,021 ",$240 ,$229 ,$11 
United States,2000,"$5,115 ",$243 ,$232 ,$11 
United States,2001,"$5,188 ",$246 ,$236 ,$10 
United States,2002,"$5,131 ",$261 ,$249 ,$11 
United States,2003,"$5,238 ",$264 ,$254 ,$10 
United States,2004,"$5,529 ",$269 ,$259 ,$10 
United States,2005,"$5,553 ",$272 ,$263 ,$10 
United States,2006,"$5,735 ",$276 ,$266 ,$10 
United States,2007,"$6,040 ",$285 ,$273 ,$12 
United States,2008,"$5,730 ",$290 ,$278 ,$12 
United States,2009,"$5,423 ",$308 ,$296 ,$12 
United States,2010,"$5,944 ",$303 ,$291 ,$12 
United States,2011,"$5,844 ",$293 ,$283 ,$11 
United States,2012,"$5,484 ",$286 ,$276 ,$10 
United States,2013,"$5,619 ",$284 ,$273 ,$10 
United States,2014,"$5,746 ",$285 ,$275 ,$10 
United States,2015,"$5,685 ",$292 ,$282 ,$10 
United States,2016,"$5,702 ",$298 ,$288 ,$10 
United States,2017,"$5,962 ",$305 ,$295 ,$10 
Maine,1977,"$2,250 ",$87 ,$82 ,$5 
Maine,1978,"$2,302 ",$81 ,$77 ,$4 
Maine,1979,"$2,186 ",$86 ,$83 ,$3 
Maine,1980,"$2,059 ",$82 ,$78 ,$4 
Maine,1981,"$2,002 ",$78 ,$75 ,$3 
Maine,1982,"$2,096 ",$78 ,$75 ,$3 
Maine,1983,"$2,096 ",$77 ,$75 ,$2 
Maine,1984,"$2,241 ",$84 ,$81 ,$3 
Maine,1985,"$2,343 ",$87 ,$84 ,$3 
Maine,1986,"$2,393 ",$91 ,$88 ,$3 
Maine,1987,"$2,537 ",$94 ,$89 ,$5 
Maine,1988,"$2,675 ",$97 ,$90 ,$6 
Maine,1989,"$2,771 ",$98 ,$94 ,$4 
Maine,1990,"$2,833 ",$99 ,$95 ,$4 
Maine,1991,"$2,941 ",$103 ,$98 ,$4 
Maine,1992,"$3,273 ",$108 ,$104 ,$4 
Maine,1993,"$3,082 ",$105 ,$103 ,$3 
Maine,1994,"$3,146 ",$108 ,$105 ,$3 
Maine,1995,"$3,164 ",$118 ,$116 ,$1 
Maine,1996,"$3,270 ",$119 ,$118 ,$2 
Maine,1997,"$3,486 ",$121 ,$119 ,$2 
Maine,1998,"$3,717 ",$131 ,$129 ,$2 
Maine,1999,"$3,594 ",$131 ,$129 ,$2 
Maine,2000,"$3,563 ",$132 ,$129 ,$3 
Maine,2002,"$3,809 ",$128 ,$125 ,$3 
Maine,2004,"$3,931 ",$145 ,$137 ,$7 
Maine,2005,"$3,869 ",$147 ,$140 ,$7 
Maine,2006,"$3,789 ",$145 ,$138 ,$7 
Maine,2007,"$3,805 ",$144 ,$139 ,$5 
Maine,2008,"$3,853 ",$140 ,$135 ,$4 
Maine,2009,"$4,060 ",$147 ,$143 ,$4 
Maine,2010,"$4,010 ",$151 ,$144 ,$7 
Maine,2011,"$3,861 ",$146 ,$141 ,$5 
Maine,2012,"$3,762 ",$142 ,$138 ,$4 
Maine,2013,"$3,721 ",$144 ,$138 ,$7 
Maine,2014,"$3,741 ",$147 ,$142 ,$5 
Maine,2015,"$3,827 ",$147 ,$143 ,$4 
Maine,2016,"$3,941 ",$157 ,$154 ,$3 
Maine,2017,"$3,915 ",$165 ,$159 ,$6 
Massachusetts,1977,"$3,880 ",$197 ,$192 ,$5 
Massachusetts,1978,"$3,899 ",$202 ,$194 ,$7 
Massachusetts,1979,"$4,029 ",$194 ,$189 ,$6 
Massachusetts,1980,"$3,687 ",$183 ,$178 ,$6 
Massachusetts,1981,"$3,556 ",$173 ,$167 ,$7 
Massachusetts,1982,"$3,384 ",$157 ,$154 ,$3 
Massachusetts,1983,"$3,511 ",$164 ,$160 ,$4 
Massachusetts,1984,"$3,546 ",$170 ,$165 ,$4 
Massachusetts,1985,"$3,677 ",$171 ,$165 ,$6 
Massachusetts,1986,"$3,873 ",$181 ,$175 ,$6 
Massachusetts,1987,"$4,056 ",$190 ,$183 ,$7 
Massachusetts,1988,"$4,083 ",$205 ,$194 ,$11 
Massachusetts,1989,"$4,188 ",$213 ,$202 ,$11 
Massachusetts,1990,"$4,202 ",$217 ,$205 ,$12 
Massachusetts,1991,"$4,144 ",$204 ,$196 ,$8 
Massachusetts,1992,"$4,036 ",$195 ,$188 ,$7 
Massachusetts,1993,"$4,086 ",$189 ,$185 ,$5 
Massachusetts,1994,"$4,242 ",$196 ,$190 ,$6 
Massachusetts,1995,"$4,223 ",$207 ,$199 ,$8 
Massachusetts,1996,"$4,527 ",$219 ,$204 ,$15 
Massachusetts,1997,"$4,476 ",$221 ,$203 ,$18 
Massachusetts,1998,"$4,624 ",$224 ,$212 ,$12 
Massachusetts,1999,"$4,746 ",$236 ,$226 ,$9 
Massachusetts,2000,"$4,794 ",$243 ,$230 ,$13 
Massachusetts,2002,"$4,969 ",$245 ,$240 ,$5 
Massachusetts,2004,"$5,537 ",$234 ,$230 ,$4 
Massachusetts,2005,"$5,642 ",$237 ,$234 ,$4 
Massachusetts,2006,"$5,880 ",$241 ,$237 ,$4 
Massachusetts,2007,"$5,693 ",$250 ,$244 ,$6 
