BHE Load Share,CMP Load Share,BHE load,CMP load,Month-Year,Total load,Customer class,Supply type
0.166923244,0.833076756,24794.406432367,123743.363399685,2018,148537.769832052,Small,Standard offer customers
0.160190052,0.839809948,25957,136081.776,2010,162038.776,Small,Standard offer customers
0.162493515,0.837506485,27771.117142857,143134.886,2007,170906.003142857,Small,Standard offer customers
0.197973855,0.802026145,23169.857142857,93865.077340092,2014,117034.934482949,Small,Standard offer customers
0.188636446,0.811363554,24518.285714286,105458.112255376,2015,129976.397969662,Small,Standard offer customers
0.180015991,0.819984009,23452,106825.314924027,2016,130277.314924027,Small,Standard offer customers
0.163353141,0.836646859,26734.285714286,136925.167,2009,163659.452714286,Small,Standard offer customers
0.160978248,0.839021752,27038,140922.581,2008,167960.581,Small,Standard offer customers
0.164000122,0.835999878,25573.428571429,130361.995806358,2011,155935.424377786,Small,Standard offer customers
0.172757822,0.827242178,24031.713003434,115074.653697805,2017,139106.36670124,Small,Standard offer customers
0.204741625,0.795258375,22397.428571429,86996.196485714,2013,109393.625057143,Small,Standard offer customers
0.194211464,0.805788536,24399,101232.10102069,2012,125631.10102069,Small,Standard offer customers
0.150510273,0.849489727,24740,139634.162,2006,164374.162,Small,Standard offer customers
0.163951096,0.836048904,14493.496465420,73907.842998771,2019,88401.339464191,Small,Standard offer customers
