Month-Year,Utility,Utility sub-region,Customer class,Supply type,customers,load,Date
10/1/2010,Central Maine Power,N/A,Large,CEP customers,302,6585.232,10/1/2010
10/1/2010,Central Maine Power,N/A,Large,Standard offer customers,60,242.759,10/1/2010
2/1/2010,Emera Maine,Bangor Hydro District,Small,CEP customers,2020,60,2/1/2010
2/1/2010,Emera Maine,Bangor Hydro District,Small,Standard offer customers,118297,2170.142857143,2/1/2010
5/1/2014,Emera Maine,Bangor Hydro District,Small,CEP customers,15604,305.714285714,5/1/2014
5/1/2014,Emera Maine,Bangor Hydro District,Small,Standard offer customers,107458,1703.857142857,5/1/2014
2/1/2014,Emera Maine,Maine Public District,Medium,CEP customers,53,176.285714286,2/1/2014
2/1/2014,Emera Maine,Maine Public District,Medium,Standard offer customers,127,153.785714286,2/1/2014
9/1/2012,Central Maine Power,N/A,Small,CEP customers,163762,3449.006266667,9/1/2012
9/1/2012,Central Maine Power,N/A,Small,Standard offer customers,437672,7895.195866667,9/1/2012
11/1/2009,Emera Maine,Maine Public District,Large,CEP customers,9,197.433333333,11/1/2009
11/1/2009,Emera Maine,Maine Public District,Large,Standard offer customers,8,136.366666667,11/1/2009
10/1/2011,Emera Maine,Bangor Hydro District,Medium,CEP customers,720,689.857142857,10/10/2011
10/1/2011,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1023,591.285714286,10/10/2011
7/1/2016,Central Maine Power,N/A,Small,CEP customers,118364,2494.066645161,7/1/2016
7/1/2016,Central Maine Power,N/A,Small,Standard offer customers,490921,8658.080580645,7/1/2016
9/1/2006,Central Maine Power,N/A,Large,CEP customers,347,8173,9/1/2006
9/1/2006,Central Maine Power,N/A,Large,Standard offer customers,97,903.873,9/1/2006
2/1/2021,Central Maine Power,N/A,Medium,CEP customers,5008,3472.812107143,2/1/2021
2/1/2021,Central Maine Power,N/A,Medium,Standard offer customers,5541,1901.886178571,2/1/2021
11/1/2021,Emera Maine,Bangor Hydro District,Large,CEP customers,36,308.428571429,11/30/2021
11/1/2021,Emera Maine,Bangor Hydro District,Large,Standard offer customers,19,23.571428571,11/30/2021
12/1/2021,Central Maine Power,N/A,Large,CEP customers,355,6836.333451613,12/31/2021
12/1/2021,Central Maine Power,N/A,Large,Standard offer customers,49,199.974774194,12/31/2021
10/1/2020,Emera Maine,Maine Public District,Large,CEP customers,13,428.405548387,10/31/2020
10/1/2020,Emera Maine,Maine Public District,Large,Standard offer customers,3,24.529548387,10/31/2020
9/1/2012,Emera Maine,Maine Public District,Small,CEP customers,31,2.666666667,9/1/2012
9/1/2012,Emera Maine,Maine Public District,Small,Standard offer customers,37314,707.366666667,9/1/2012
5/1/2018,Emera Maine,Maine Public District,Small,CEP customers,415,24.161290323,5/1/2018
5/1/2018,Emera Maine,Maine Public District,Small,Standard offer customers,36693,668.677419355,5/1/2018
8/1/2010,Emera Maine,Maine Public District,Medium,CEP customers,56,117.838709677,8/1/2010
8/1/2010,Emera Maine,Maine Public District,Medium,Standard offer customers,134,171.161290323,8/1/2010
8/1/2020,Emera Maine,Maine Public District,Large,CEP customers,12,397.798548387,8/1/2020
8/1/2020,Emera Maine,Maine Public District,Large,Standard offer customers,3,0.941419355,8/1/2020
12/1/2007,Central Maine Power,N/A,Large,CEP customers,330,7812,12/1/2007
12/1/2007,Central Maine Power,N/A,Large,Standard offer customers,80,431,12/1/2007
10/1/2008,Central Maine Power,N/A,Large,CEP customers,305,9277.447,10/1/2008
10/1/2008,Central Maine Power,N/A,Large,Standard offer customers,94,511.545,10/1/2008
6/1/2015,Emera Maine,Maine Public District,Medium,CEP customers,21,36.466666667,6/1/2015
6/1/2015,Emera Maine,Maine Public District,Medium,Standard offer customers,161,185.7,6/1/2015
11/1/2021,Emera Maine,Maine Public District,Large,CEP customers,15,67.533333333,11/30/2021
11/1/2021,Emera Maine,Maine Public District,Large,Standard offer customers,3,0,11/30/2021
4/1/2016,Emera Maine,Maine Public District,Large,CEP customers,12,385.133333333,4/1/2016
4/1/2016,Emera Maine,Maine Public District,Large,Standard offer customers,2,13.366666667,4/1/2016
4/1/2011,Central Maine Power,N/A,Large,CEP customers,328,6793.784470777,4/1/2011
4/1/2011,Central Maine Power,N/A,Large,Standard offer customers,60,245.529613160,4/1/2011
6/1/2020,Emera Maine,Bangor Hydro District,Large,CEP customers,28,537,6/1/2020
6/1/2020,Emera Maine,Bangor Hydro District,Large,Standard offer customers,17,63,6/1/2020
11/1/2006,Central Maine Power,N/A,Small,CEP customers,2511,79,11/1/2006
11/1/2006,Central Maine Power,N/A,Small,Standard offer customers,573602,10730.702,11/1/2006
7/1/2018,Emera Maine,Bangor Hydro District,Large,CEP customers,30,595.527096218,7/1/2018
7/1/2018,Emera Maine,Bangor Hydro District,Large,Standard offer customers,17,88.061386884,7/1/2018
12/1/2013,Emera Maine,Bangor Hydro District,Medium,CEP customers,737,762,12/1/2013
12/1/2013,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1015,540.571428571,12/1/2013
12/1/2008,Central Maine Power,N/A,Small,CEP customers,2835,146.847,12/1/2008
12/1/2008,Central Maine Power,N/A,Small,Standard offer customers,581132,13166.668,12/1/2008
10/1/2009,Emera Maine,Bangor Hydro District,Medium,CEP customers,505,599.857142857,10/1/2009
10/1/2009,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1182,653.142857143,10/1/2009
3/1/2008,Emera Maine,Maine Public District,Large,CEP customers,10,289,3/1/2008
3/1/2008,Emera Maine,Maine Public District,Large,Standard offer customers,8,131,3/1/2008
9/1/2014,Central Maine Power,N/A,Small,CEP customers,169150,3663.497766667,9/1/2014
9/1/2014,Central Maine Power,N/A,Small,Standard offer customers,436363,7684.0757,9/1/2014
9/1/2016,Emera Maine,Bangor Hydro District,Small,CEP customers,10899,213,9/1/2016
9/1/2016,Emera Maine,Bangor Hydro District,Small,Standard offer customers,114298,1795,9/1/2016
11/1/2006,Emera Maine,Maine Public District,Large,CEP customers,11,423.322580645,11/1/2006
11/1/2006,Emera Maine,Maine Public District,Large,Standard offer customers,5,53.258064516,11/1/2006
10/1/2013,Central Maine Power,N/A,Medium,CEP customers,5907,3176.097483871,10/1/2013
10/1/2013,Central Maine Power,N/A,Medium,Standard offer customers,6369,1886.039064516,10/1/2013
2/1/2009,Central Maine Power,N/A,Medium,CEP customers,2985,2350,2/1/2009
2/1/2009,Central Maine Power,N/A,Medium,Standard offer customers,8124,2780,2/1/2009
6/1/2021,Emera Maine,Maine Public District,Medium,CEP customers,69,108.4729,6/1/2021
6/1/2021,Emera Maine,Maine Public District,Medium,Standard offer customers,133,94.7999,6/1/2021
11/1/2017,Emera Maine,Maine Public District,Small,CEP customers,414,24.1059,11/1/2017
11/1/2017,Emera Maine,Maine Public District,Small,Standard offer customers,36674,722.497666667,11/1/2017
9/1/2012,Emera Maine,Bangor Hydro District,Medium,CEP customers,854,817.714285714,9/1/2012
9/1/2012,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,959,488,9/1/2012
12/1/2020,Central Maine Power,N/A,Large,CEP customers,334,7949.052129032,12/31/2020
12/1/2020,Central Maine Power,N/A,Large,Standard offer customers,54,202.876967742,12/31/2020
5/1/2021,Emera Maine,Maine Public District,Small,CEP customers,352,17.216741935,5/1/2021
5/1/2021,Emera Maine,Maine Public District,Small,Standard offer customers,35585,657.632161290,5/1/2021
12/1/2014,Central Maine Power,N/A,Small,CEP customers,159680,3643.981096774,12/1/2014
12/1/2014,Central Maine Power,N/A,Small,Standard offer customers,447471,8718.457741935,12/1/2014
10/1/2018,Emera Maine,Maine Public District,Large,CEP customers,13,455.010322581,10/31/2018
10/1/2018,Emera Maine,Maine Public District,Large,Standard offer customers,3,12.058612903,10/31/2018
2/1/2019,Emera Maine,Maine Public District,Medium,CEP customers,70,122.102535714,2/1/2019
2/1/2019,Emera Maine,Maine Public District,Medium,Standard offer customers,111,115.052464286,2/1/2019
8/1/2013,Central Maine Power,N/A,Small,CEP customers,196039,4526.627967742,8/1/2013
8/1/2013,Central Maine Power,N/A,Small,Standard offer customers,407249,7545.623806452,8/1/2013
12/1/2009,Emera Maine,Bangor Hydro District,Small,CEP customers,1684,55,12/1/2009
12/1/2009,Emera Maine,Bangor Hydro District,Small,Standard offer customers,118641,2450.571428571,12/1/2009
9/1/2021,Central Maine Power,N/A,Medium,CEP customers,5276,4103.968566667,9/30/2021
9/1/2021,Central Maine Power,N/A,Medium,Standard offer customers,5842,2494.798166667,9/30/2021
12/1/2013,Emera Maine,Maine Public District,Small,CEP customers,52,6.580645161,12/1/2013
12/1/2013,Emera Maine,Maine Public District,Small,Standard offer customers,37170,848.161290323,12/1/2013
1/1/2017,Emera Maine,Bangor Hydro District,Small,CEP customers,10804,243.428571429,1/1/2017
1/1/2017,Emera Maine,Bangor Hydro District,Small,Standard offer customers,113323,2118.857142857,1/1/2017
6/1/2012,Emera Maine,Maine Public District,Large,CEP customers,11,336.4,6/1/2012
6/1/2012,Emera Maine,Maine Public District,Large,Standard offer customers,3,16.5,6/1/2012
6/1/2020,Central Maine Power,N/A,Medium,CEP customers,5349,3209.027,6/1/2020
6/1/2020,Central Maine Power,N/A,Medium,Standard offer customers,6012,1829.8635,6/1/2020
10/1/2013,Emera Maine,Maine Public District,Large,CEP customers,8,345.612903226,10/1/2013
10/1/2013,Emera Maine,Maine Public District,Large,Standard offer customers,3,17.483870968,10/1/2013
2/1/2012,Emera Maine,Maine Public District,Medium,CEP customers,46,110.172413793,2/1/2012
2/1/2012,Emera Maine,Maine Public District,Medium,Standard offer customers,138,151,2/1/2012
7/1/2013,Emera Maine,Maine Public District,Medium,CEP customers,52,120.677419355,7/1/2013
7/1/2013,Emera Maine,Maine Public District,Medium,Standard offer customers,133,133.516129032,7/1/2013
11/1/2011,Emera Maine,Bangor Hydro District,Small,CEP customers,3679,125.285714286,11/1/2011
11/1/2011,Emera Maine,Bangor Hydro District,Small,Standard offer customers,117657,2035.571428571,11/1/2011
6/1/2013,Emera Maine,Maine Public District,Medium,CEP customers,52,104.766666667,6/1/2013
6/1/2013,Emera Maine,Maine Public District,Medium,Standard offer customers,125,125.7,6/1/2013
5/1/2006,Central Maine Power,N/A,Medium,CEP customers,2535,1869,5/1/2006
5/1/2006,Central Maine Power,N/A,Medium,Standard offer customers,8676,3154.614,5/1/2006
2/1/2013,Emera Maine,Bangor Hydro District,Medium,CEP customers,825,818.142857143,2/1/2013
2/1/2013,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,935,547.428571429,2/1/2013
2/1/2013,Emera Maine,Maine Public District,Small,CEP customers,53,7.678571429,2/1/2013
2/1/2013,Emera Maine,Maine Public District,Small,Standard offer customers,37133,1067.035714286,2/1/2013
9/1/2017,Central Maine Power,N/A,Small,CEP customers,108114,2227.898266667,9/1/2017
9/1/2017,Central Maine Power,N/A,Small,Standard offer customers,510528,9586.007333333,9/1/2017
10/1/2017,Central Maine Power,N/A,Medium,CEP customers,5345,3424.5825,10/1/2017
10/1/2017,Central Maine Power,N/A,Medium,Standard offer customers,6234,1997.5071,10/1/2017
3/1/2015,Central Maine Power,N/A,Small,CEP customers,148988,3428.476483871,3/1/2015
3/1/2015,Central Maine Power,N/A,Small,Standard offer customers,458456,9003.613967742,3/1/2015
2/1/2020,Emera Maine,Bangor Hydro District,Large,CEP customers,32,485.923574794,2/1/2020
2/1/2020,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,231.582239403,2/1/2020
1/1/2015,Central Maine Power,N/A,Small,CEP customers,152467,3822.476290323,1/1/2015
1/1/2015,Central Maine Power,N/A,Small,Standard offer customers,455064,10046.993645161,1/1/2015
4/1/2011,Emera Maine,Bangor Hydro District,Small,CEP customers,3382,110,4/1/2011
4/1/2011,Emera Maine,Bangor Hydro District,Small,Standard offer customers,117994,1919.571428571,4/1/2011
10/1/2019,Emera Maine,Maine Public District,Medium,CEP customers,75,109,10/1/2019
10/1/2019,Emera Maine,Maine Public District,Medium,Standard offer customers,109,89,10/1/2019
4/1/2008,Central Maine Power,N/A,Medium,CEP customers,2745,2231,4/1/2008
4/1/2008,Central Maine Power,N/A,Medium,Standard offer customers,8589,3120,4/1/2008
9/1/2019,Emera Maine,Bangor Hydro District,Large,CEP customers,32,546,9/1/2019
9/1/2019,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,217,9/1/2019
4/1/2017,Central Maine Power,N/A,Medium,CEP customers,5326,3301.544533333,4/1/2017
4/1/2017,Central Maine Power,N/A,Medium,Standard offer customers,5861,1709.599666667,4/1/2017
11/1/2013,Emera Maine,Maine Public District,Large,CEP customers,8,317.633333333,11/1/2013
