MPS Load Share,MPS Load,BHE Load Share,CMP Load Share,BHE load,CMP load,Month-Year,Total load,Customer class,Supply type
0.058272898,9191.331792780,0.157196143,0.784530959,24794.406432367,123743.363399685,2018,157729.101624832,Small,Standard offer customers
0.051629823,8821.485099846,0.151919468,0.796450708,25957,136081.776,2010,170860.261099846,Small,Standard offer customers
0.050012883,8997.492473118,0.154366746,0.795620371,27771.117142857,143134.886,2007,179903.495615975,Small,Standard offer customers
0.075830003,9602.951305684,0.182961497,0.741208500,23169.857142857,93865.077340092,2014,126637.885788633,Small,Standard offer customers
0.066799346,9303.828033794,0.176035654,0.757165000,24518.285714286,105458.112255376,2015,139280.226003456,Small,Standard offer customers
0.068275726,9546.577848350,0.167725269,0.763999005,23452,106825.314924027,2016,139823.892772377,Small,Standard offer customers
0.052040996,8984.566666667,0.154852081,0.793106923,26734.285714286,136925.167,2009,172644.019380952,Small,Standard offer customers
0.053911873,9165.831874501,0.147187777,0.798900350,25024.142857143,135825.113171045,2021,170015.087902688,Small,Standard offer customers
0.051741775,9164.780645161,0.152648947,0.795609277,27038,140922.581,2008,177125.361645161,Small,Standard offer customers
0.055828813,9139.331031257,0.147474489,0.796696697,24141.981492059,130421.451213348,2020,163702.763736664,Small,Standard offer customers
0.054292614,8952.179032258,0.155096126,0.790611259,25573.428571429,130361.995806358,2011,164887.603410044,Small,Standard offer customers
0.060274117,8922.297002151,0.162344997,0.777380886,24031.713003434,115074.653697805,2017,148028.66370339,Small,Standard offer customers
0.078364519,9301.485176651,0.188697146,0.732938335,22397.428571429,86996.196485714,2013,118695.110233794,Small,Standard offer customers
0.067832990,9142.066926214,0.181037519,0.751129491,24399,101232.10102069,2012,134773.167946904,Small,Standard offer customers
0.050047827,8659.982949309,0.142977561,0.806974612,24740,139634.162,2006,173034.144949309,Small,Standard offer customers
0.058435083,9255.149505760,0.155370704,0.786194213,24608.146820785,124520.145360061,2019,158383.441686607,Small,Standard offer customers
