Place,Date,BUSINESS OPERATING,BLDG. SUPPLY,FOOD STORE,GENERAL MDSE.,OTHER RETAIL,AUTO TRANSPORTATION,RESTAURANT & LODGING,TOTAL,PERSONAL CONSUMPTION,RESTAURANT,LODGING
AUGUSTA ESA,2007-01,"$5,133.3","$6,779.8","$6,716.6","$16,255.9","$3,753.6","$18,591.1","$8,077.1","$65,307.4","$60,174.2","$7,531.9",$545.2
AUGUSTA ESA,2007-02,"$4,544.3","$5,070.1","$6,642.0","$15,214.5","$4,100.1","$21,885.1","$7,308.4","$64,764.5","$60,220.2","$6,763.7",$544.7
AUGUSTA ESA,2007-03,"$5,735.1","$5,420.4","$7,074.3","$17,662.0","$6,415.1","$25,940.3","$8,992.0","$77,239.1","$71,504.0","$8,181.3",$810.7
AUGUSTA ESA,2007-04,"$4,154.2","$6,941.6","$6,869.8","$15,787.6","$4,688.0","$26,476.9","$8,024.1","$72,942.1","$68,787.9","$7,273.5",$750.6
AUGUSTA ESA,2007-05,"$4,111.6","$9,018.4","$7,572.7","$17,795.4","$6,546.7","$27,628.5","$9,473.3","$82,146.6","$78,035.0","$8,506.4",$966.9
AUGUSTA ESA,2007-06,"$5,636.5","$10,676.2","$8,337.0","$20,128.7","$8,628.2","$30,112.2","$11,008.8","$94,527.7","$88,891.1","$9,513.7","$1,495.0"
AUGUSTA ESA,2007-07,"$4,358.2","$9,601.4","$7,782.8","$17,935.2","$5,380.3","$26,567.2","$10,611.2","$82,236.3","$77,878.0","$9,003.7","$1,607.6"
AUGUSTA ESA,2007-08,"$4,743.9","$9,567.1","$8,342.2","$20,268.6","$5,459.8","$29,564.2","$11,401.4","$89,347.2","$84,603.3","$9,627.6","$1,773.8"
AUGUSTA ESA,2007-09,"$5,010.1","$9,739.7","$7,781.8","$18,589.1","$6,528.8","$24,521.9","$10,827.9","$82,999.4","$77,989.2","$9,415.0","$1,413.0"
AUGUSTA ESA,2007-10,"$5,436.9","$10,424.4","$7,038.8","$18,166.2","$5,259.6","$23,948.9","$9,637.6","$79,912.5","$74,475.5","$8,444.5","$1,193.1"
AUGUSTA ESA,2007-11,"$5,305.8","$9,555.8","$6,799.3","$24,454.5","$6,426.5","$20,630.2","$8,082.3","$81,254.4","$75,948.6","$7,330.7",$751.6
